yame	Noun	crocodile
yaka	Pronoun	1sg.poss
dunur	Noun	lake
mandɨ		before
nadɨŋ	Pronoun	2sg.obj
yarɨm	Noun	wallaby
beraŋ	Verb	2sg.fut
na	Verb	2sg
aba	Particle	quot
tɨbɨtɨki	Verb	push
na	Pronoun	2sg
ber	Verb	3sg.fut
sagur	Noun	loincloth
urab	Adjective	straight
nadanɨŋ	Pronoun	2pl.obj
nɨbɨ	Pronoun	3sg.emph
upɨnaŋ	Adjective	good
yasi	Pronoun	1sg.ben
kɨmɨb	Noun	hand
yuŋ		laughter
nɨdanɨŋ	Pronoun	3pl.obj
kar	Verb	2pl.ds
sɨraŋ	Noun	fat
sɨdu	Verb	bathe?
dugwa		stand
kagɨkimr	Verb	turn
mumukatam	Noun	nose
Ibɨrmiŋ	ProperNoun	Ibɨrmiŋ
kibɨ	Noun	in.law
kɨtɨ	Verb	ss?
mɨt	Verb	leave
yambar	Noun	story
garaŋ	Adjective	long
amɨ	Noun	breast
Mande	ProperNoun	Monday
ɨte	Verb	hab
mɨnde	Noun	grass.sp
tɨkaw	Verb	take.away
mɨndam	Verb	think
nɨ	Pronoun	3sg
kɨpuŋ	Noun	lime
migin	Noun	tongue
na		2.poss
ukundugr	Verb	break
umɨkam	Noun	pandanus
tɨka		trans?
okei	Interjection	okay
ŋga	Determiner	adjz
umɨniŋ	Adverb	yesterday
tɨbram	Verb	thunder
itu	Noun	tobacco
ambɨtɨgɨm	Verb	sleep?
ik	Verb	chop
mɨndugr	Verb	break
inɨŋ	Verb	3sg.ds
n	Verb	eat
ur	Noun	house
mugu	Verb	go.down
mar	Verb	build
mum		husband
ɨ	Verb	?
gwande	Noun	stone,money
kamam	Noun	skirt
imaŋ	Noun	louse
mari		cousin
krɨsaky	Verb	dry
Sem	ProperNoun	Sam
tɨb	Verb	close
baptais	Noun	baptism
pad	Noun	log
aniŋ		where?
si	Postposition	ben
narɨkuŋ	Pronoun	2pl.poss
na	Particle	and?
kapɨ	Noun	bird
tik	Verb	fetch.water
kaw	Verb	carry
sibi	Verb	cover
kidɨb	Noun	skin
be	Verb	?
kar	Adverb	sick
itaŋ	Noun	fence
kur	Verb	3sg.imp
muti		piece?
ga	Particle	top
amur	Adverb	one.day.away
natɨ	Noun	crayfish
ukɨn	Noun	kidney
Maban	ProperNoun	Mawan
mɨsɨnam	Noun	odor
maki	Noun	sago
gugur	Verb	boil
nɨtɨ	Verb	eat.ss
mɨŋ	Verb	take
nudaŋ	Noun	child
nɨŋe		who
amaskam	Noun	lastborn
birat	Verb	explode
cikwatam	Noun	mouth
mɨŋɨt	Verb	bring?
tuw	Verb	burn
miku	Noun	shrub.sp
uk	Verb	tell
bi	Noun	ground
sagɨr	Noun	noise
e	Verb	3sg.ipst,3sg
mɨki	Noun	drum
ɨna	Verb	2sg.ipst?
suku	Adverb	very
tamɨ	Noun	eye
byaŋ	Verb	1sg.fut
kar	Verb	1pl.ds
sɨbɨr	Adjective	bad
baŋ	Verb	2sg.ctrf
maimai	Noun	great.grandfather
mapɨm	Noun	liver
mu		spec
mugut		go.down?
abeb	Noun	old.woman
sapa	Adverb	back
