gumga	Noun	tree.type
gŋgreŋw	Verb	hang.up
tabu	Noun	gun
tari	Adjective	only?,enough
akleŋ	Verb	look.down
ŋi	Noun	bird
haru	Noun	handle
qala	Noun	sister.i.l
ko	Noun	ashes
boimben	Noun	tree.type
tmo ŋondom	Noun	banana.type
amal	Noun	snake
Soŋgum	ProperNoun	Songum
Susen	ProperNoun	Susan
Lolobau	ProperNoun	Lolobau
kakar	Verb	shake
kine	Noun	hole
koŋw	Verb	throw
gumbeŋ	Verb	whip
baket	Noun	bucket
gseŋ	Noun	tree.type
andabim	Verb	mount
lil	Adverb	two,twice
syi	Verb	give.to.1sg
kde kendi	Noun	fig.type
mandu uro	Noun	tree.type
yaŋgim	Noun	rain
rais	Noun	rice
hognu	Noun	tree.type
bjagam qawa	Noun	tulip.type
stori	Noun,Verb	tell.story,story
mul udu	Noun	tree.type
mnjqom	Noun	skin
lain	Noun	group
emb	Verb	sg.fpst.ss
gunje	Noun	tree.type
añul	Noun,Verb	be.sick,poison,sickness
jŋgai		only?
yasu ŋondom	Noun	grass.type
kantri	Noun	country
tf	Interjection	speech.error
tnnem	Verb	be.still
budu	Noun	dirtiness
gori	Noun	paint.tree
jimjim	Noun	tree.type
ndqori	Noun	stump
asbu	Verb	spy
ynum	Noun	tree.type
fes	Adjective	first
hulau	Verb	put.pl.obj
ta	Verb	wander
qaji	Verb	piece
sbim	Noun	inside?
monjoŋ	Noun	bee.sp
qien	Verb	celebrate
walwel	Verb	wander
helijge	Noun	tree.type
Bwai	ProperNoun	Bwai
huglub	Noun,Verb	stomach,be.pregnant
kumbri	Noun	wild.banana
salu	Noun	vine.type
kubamo		
stret	Adverb	exactly
kuboŋ	Noun	canoe
gri	Noun	wings
hap	Noun	piece
sŋgi	Verb	laugh
yau	Noun	wallaby.sp
mel	Verb	cry
qmbumbeŋ	Noun	jews.harp
wo	Postposition	com
jaŋi	Noun	pot.type
kiŋgleŋ	Noun	tree.type
las	Adjective	last
kmoŋ		sleep?
sqol	Pronoun	1du
yaru yom	Noun	tree.type
damum	Noun	meat
gomor	Noun	basket
kiakiaw	Noun	banana.type
gobrom	Noun	plant.type
o	Interjection	oh
kleŋw	Verb	cross?
tokples	Noun	language
qas	Particle	?
pndandaŋ	Noun	beautyberry
wanam	Noun	palm.type
kaŋgel	Noun	butterfly
kumbi	Noun	grass.type
paŋ	Noun	tree.type
kobo	Verb	be.good
yo	Interjection	no
hembreŋ		
malolo	Verb	rest
ŋgoru	Noun	plate
yebenji	Noun	land
sle	Verb,Adverb	before,do.earlier
sndaqum		
autim	Verb	publicize
haŋar?	Noun	galip.nut
diŋgin kumblu	Noun	vine.type
qamam	Noun	palm.type
lwu	Adverb	two.days.ago
i	Pronoun	poss?
ŋareŋ	Verb	hot,be.hot
lukautim	Verb	care.for
ya	Noun	water
kenw	Verb	not.able
noqol	Pronoun	3du
kwa	Verb	break
ubu	Noun	shell
qasur	Noun	trap
qori	Noun,Verb	house,build.house,village
hatim	Verb	scold
kumbu	Verb	hold
gndegnde	Noun	wild.banana
qsim		
mblaŋ	Noun	fish.sp
gum waŋgombi	Noun	taro.type
qri kumjeŋ	Noun	tree.type
wansoru	Noun	sugar.type
hahaha	Interjection	haha
tne	Verb	approach?
qel	Verb	decorate,dress
dal	Noun,Verb	package,wrap
dndoŋ	Verb	cut.off
mag	Verb	limit
i	Verb	1sg,1sg.ss
jqo	Verb	come
dou	Verb	share
boimben jqalub	Noun	tree.type
gŋ	Verb	?
i	Pronoun	1sg
idauŋ	Verb	carry.on.pole
umor		?
tumbuna	Noun	ancestor
pegi jqalub	Noun	tree.type
s	Particle	agt,ins,abl
aŋgi	Noun	bump
ñam	Noun	mother
qasir		
damu	Adverb	very
kuwi	Noun	nettle
Qsmolsnaq	ProperNoun	Qsmolsnaq
gagai	Adverb	always
Kaiŋgaso	ProperNoun	Kaingaso
titimin mul	Noun	vine.type
Mbolon	ProperNoun	Mbolon
saryem		
snja		?
e	Particle	q,imp
tenemb	Adverb	directly
bubu	Noun	bamboo.type
yakar kbul	Noun	tree.type
waglu	Noun	epiphyte
knab		hungry
medi	Noun	greens
kumom	Verb	sun.set?
tai	Verb	push
sagul	Noun	tree.type
gum lanis	Noun	taro.type
ji	Noun	nose
todu kde	Noun	cucumber
dagi	Verb	carry on shoulder
glaŋ	Noun	tree.type
gdai		one
tum	Noun	plant.type
nimbi	Pronoun	3pl.poss
wil	Noun	breast
kndqa	Verb	pinch?
salqan	Noun	kite.type
jgel	Verb	dance
suli mnjraŋ	Noun	plant.type
kbul	Noun	widow
Marwai	ProperNoun	Marwai
tmbum	Noun	tree.type
Kumqoru	ProperNoun	Kumqoru
skul	Noun,Verb	school,attend.school
dmgeŋ	Noun	vine.type
keri	Verb	able?,be.enough
kondi	Noun	palm.type
ŋg	Verb	3pl,3pl.ss
Preŋk	ProperNoun	Frank
brndaŋ	Verb	break?
Yag	ProperNoun	Yag
uro	Noun	crayfish.sp
habqab	Adjective	outside,below,low?
pe	Verb	remove,wipe
Kimbe	ProperNoun	Kimbe
moñeŋ	Noun,Verb	woman,become.woman
aŋgbon	Noun	tree.type
kaigou	Verb	go.around
sŋgleŋ	Noun	tree.type
nambi	Noun	she.oak
Muŋgukulu	ProperNoun	Munggukulu
u	Verb	3sg
sem	Adverb	quietly?
aji mul	Noun	vine.type
mmaden	Noun	grass.type
domboraŋgi	Noun	umbrella.tree
tutausen	Noun	two.thousand
klad	Verb	watch.over
qamaŋ kraŋ	Noun	tree.type
kuru	Noun	sprout
g	Verb	inf,?
sibim	Noun	guts
ŋa	Noun	yam.type
wasu	Verb	tell
lemi		what
mano	Adverb	above?
jqraŋ	Noun	wild.pandanus
bran		
ñqro	Verb	smash
ibel	Verb,Adverb	tomorrow,become.tomorrow
dur		
gum snji	Noun	plant.type
mambrum	Noun	plant.type
somborñam	Noun	tree.type
kominiti	Noun	community
plaŋgu	Noun	plant.type
kebem	Noun	wild.sugar
mbo	Adverb	maybe
blau	Verb,Adverb	afternoon,become.afternoon
ye	Interjection	yeah
