bla	Adverb	again?
wol	Verb	hit
lam		young
sandeŋ	Noun	wallaby
ali	Adverb	d.a.tomorrow
hom	Adjective	ripe
kiñauŋ	Adjective	dry
gisim	Noun	knife
ql	Verb	2pl.imp
qandu	Noun	skirt
suŋgurw	Verb	push
mondoŋ	Adverb	after
Enru	ProperNoun	Andrew
huyou	Verb	boil
gum	Verb	ctrf?
sumbom	Noun	mouth
mbe	Determiner	obj
yaŋgu	Noun	water
qa	Noun	betelnut
imem	Noun	frog
t	Verb	2pl
nambi	Pronoun	2sg.emph?
gambu	Noun	fly
ni	Pronoun	2sg
ti	Verb	get
jar		?
mbqam	Adjective	full
ŋglaŋ	Noun	brain
ñaŋ	Noun	mother
gembu	Adverb	how.many
tali	Pronoun	2du
mun	Particle	neg.fut?
Don	ProperNoun	Don
ulim	Noun	grass
iqou	Verb	leave
yasu	Noun	cane
minensu		there
yaqar	Noun	wind
mbliŋ	Noun	lightning
qasrau	Verb	carry
yu	Noun	sugar
hogei	Adjective	short
maŋiŋ	Noun	snake
qiyaŋgu	Noun	urine
qeŋw	Verb	pull
tou	Noun	old.person
damum	Noun	meat
kol	Noun	bowstring
komblom	Noun	neck
yuwel	Noun	sea
s	Verb	1du
soqu	Noun	split.wood
awil		two
h		
si	Verb	come
panibum	Noun	thigh
sŋg	Verb	1pl
kumbu	Verb	hold
yowor	Noun	k.o.spear
huñum	Noun	name
tani	Pronoun	2pl
ñam	Noun	thumb
tudu	Noun	k.o.arrow
bri		go?
siqai	Noun	salt
ombe	Interjection	true
nalu	Pronoun	3du
duqumar	Noun	nape
bujuru	Noun	root
min	Verb	stay
lom	Noun,Adverb	elder,left.hand,well
nanu	Pronoun	3pl
imbri	Adjective	cold
imbil	Verb	dream
qasqap	Noun	ear
baqili	Adjective	bad
bilgen	Noun	pot
n	Verb	2sg
qaji	Noun	hole
palam	Noun	k.o.arrow
tini	Verb	give.to.2sg
koŋw	Verb	throw
nol	Verb	hit.2sg.obj
imbel	Adverb	tomorrow
koŋkoŋ	Noun	Chinese.taro
eŋ	Noun	tongue
mai	Pronoun	who
hagu	Noun	trunk
gugum		heavy
nemi	Noun	what
silalum	Adjective	old
n	Postposition	poss
aŋ	Verb	prs?
qaloŋ	Noun	bag,guts
hu	Verb	blow
qoqo	Verb	watch
hu	Verb	burn
qasiŋ	Noun	mosquito
kanu	Noun	canoe
bul	Verb	turn
kumim	Adjective	dry
tŋg	Verb	2pl
timbeŋ	Noun	pot
quŋgi	Noun	comb
yi	Verb	1sg.obj
memel	Verb	cry
qiñaleŋ	Noun	bird.sp
higoŋ	Adjective	crooked
jujuŋgur	Noun	nose
dur	Verb	follow
buru	Noun	stump
a	Verb	3
manu	Noun	stone
u	Verb	3sg.obj
kabum	Noun	shrub.sp
pragw	Verb	tear
aŋgim	Noun	eye
yodu	Noun	bow
qoduqom	Noun	cloth
gomor	Noun	stomach,basket
la	Verb	talk
mi	Verb	descend
lom	Interjection	yes
qilin	Verb	know
simbim	Noun	belly
simbipaŋ	Noun	flying.fox
doqri	Noun	piece.of.wood
qulu	Adverb	night
halu	Noun	face
qad	Verb	3sg.fpst
