mana	Noun	louse
qe		plan?
qasan		hurry
gavman	Noun	government.TP
aŋgr	Verb	put.3p
bujer	Noun	tree.sp
guguji	Noun	piece
abreg		
gin	Verb	come
qain	Noun	mosquito
Bilbil	ProperNoun	Bilbil.place
fam	Noun	farm.TP
ebib		hurry?
wab	Noun	pot
kriŋa	Noun	woman
blut	Noun	blood.TP
raruŋgamba	Noun	leak.water
qaqein		prayer
gaŋgu	Noun	wind.fish
gari	Noun	cloth
tar	Verb,Adverb	up?,put.up
Melamu	ProperNoun	Malamu
oj	Verb	touch
Kamu	ProperNoun	Kamu
gujit		
sel	Noun	vine
Managate	ProperNoun	Managate.place
injalum	Pronoun	23d.poss
rait		right?.TP
wau	Noun	grandfather,grandchild
arenen		?
beslan	Verb	23d.prs.hab
basa	Verb	be.finished
tem		
gu	Verb	cook
qani	Adjective	true
baqla	Noun	exchange.partner
suqle	Noun	bone
gabra	Noun	stream
baru	Verb	shake.hands
amal	Noun	snake
beben	Verb	23ns.hab
gul	Noun	string
aŋam	Noun	tree
qarqos	Verb	block
serereq	Verb	sizzle
nonoi		small,closeby
bor	Noun	salt
wi	Noun	lime,ashes
mub	Noun	mouth
you	Noun	sore
garam	Noun	moon
i	Demonstrative,Postposition	prox?,loc
ŋoqa	Noun	wife.3s.poss
ujagla	Noun	navel
ŋamku	Verb	lie.face.down
en		?
wemun	Noun	clan
America	ProperNoun	America
abrig	Verb	hold,grab
neba	Verb	look.at.1s
laŋgu	Adverb	landward,above
ñi	Pronoun	2s
tasol	Interjection	but
bara	Verb	shake.hand
yig	Pronoun	1pi
nj	Verb	3ns.obj
popla	Verb	open
peu	Verb	try
yekram	Noun	bug.sp
pat	Noun	stone.axe
ho	Interjection	hello,so
ario	Interjection	ario
pag	Verb	hide,go.past
sore		sorry
tom		3s.poss?
reŋ		nmzr?
aqreur	Verb	kill.completely
baqala	Noun	frame?
gogumu		
qabul	Noun	breadfruit
aguquji	Adjective	short
ju	Verb	make
yau	Noun	betel.pepper
mesen	Verb	12s.prs.hab
aguguqu	Adjective	short.redup
d		?
kaŋgruŋ	Adjective	big
oda		correct?
ŋis	Verb	wash
Waŋ	ProperNoun	Wang
dundeqla	Noun	girl
Tuag	ProperNoun	Tuag
qa		color?
areŋ	Noun	thunder
guñalaŋ	Noun	black.cockatoo
mur	Verb	1ns.??
sena	Noun	taro
geil	Verb	carry
alili		two?
ñil	Pronoun	2d
tambriŋ	Adjective,Verb	afraid?,fear
d	Verb	go,come,go.in,return
qi		
oboqt	Verb	open
lokim	Verb	lock.TP
rausim	Verb	get.rid.of.TP
lain	Noun	plantation,family.TP
jige		afternoon?
sirau	Noun	knife
gumbliqa	Noun	boy?
meme	Noun	goat
yamba	Adverb	tomorrow
bul	Noun	pig
Boŋgu	ProperNoun	Bongu
qalue		female?
awul	Noun	tree.sp
la		stupid
injoŋ	Verb	be.busy
a	Particle	ah
dam	Noun	step
kamanji	Noun	game.animal,animal?
qar	Noun	fence
añiboro	Adjective	big
mum	Verb	1ns.prs,1ns.ifut
Keti	ProperNoun	Cathy
[...]		emph?
ban	Verb	23ns.rpst/fut,23ns.fut,23ns.rpst
meq	Verb	2s.prs
nanaji	Pronoun	3p.emph
qoki	Noun	bird.sp
Asel	ProperNoun	Asel
Biwo	ProperNoun	Biwo
eteu	Verb	?
si	Noun	nail
sur	Verb	fall.down
tambram	Noun	source?
qasañe	Adverb	quickly
rar	Noun	game
tatu	Verb	awaken
tavir	Noun	chest
paqariŋ	Verb	turn
kere	Adverb	enough?,all,well.adv
Moksen	ProperNoun	Moksen
mal	Noun	tree.sp,loincloth
keneŋ	Adjective	little
al	Verb	open
bosboi	Noun	boss
ogen		
qaugogo	Interjection	I.like.it
utua	Verb	adopt
anju		
qutuluŋ	Verb	be.frightened
aq	Verb	irr,irrːdes,irrːfut,irrːhort,irrːabil,irrːpur,irrːobg,irrːimp,irrːproh,irrːatmt,irr:pres.hab,irr:hypo,irr:cond,irr:inf,irr:supp,irr:dub,irr:so.that,irr:advis
alam	Noun	yam.sp
naji	Pronoun	3p
njam	Noun	23ns.poss
ko	Noun	neck
uqule	Noun	problem,weight
maŋamaŋau		various
ur	Verb	3s.obj?,?
bi	Noun	feces
mine	Noun	stomach
nal		now
ŋamqabut		?
nareŋ	Noun	hornbill
baqain	Verb	run
qaboqe	Adjective	full
Yomba	ProperNoun	Jomba
aqle	Noun	?,neck
tenemu		straight
or	Noun	heart
aqa	Adverb	here,now
tapor	Noun	iron.axe
tabir	Noun	plate,money,bowl
piqpaq	Verb	spill?
sare		old
etir	Verb	look.down
yayali	Pronoun	1di.emph
toror	Verb	encounter
win	Noun	turtle
sa	Noun	dog
mete		first
basis		barge?.TP
ala	Verb	distribute
toum	Noun	picture
moro	Adjective	old
qabau		other.side?
Gwaŋ	ProperNoun	Gwaŋ
qawal	Noun	tree.sp
soq	Verb	lift
namediŋ		old
alue	Noun	point.geographic.feature
as	Noun	bird
maski	Interjection	nevermind
sogal	Adverb	far
aqale		ripe
nabal	Noun	time,day
jegara		all
poŋ	Verb	clear,break,think?
Kaliku	ProperNoun	Kaliku
kampani	Noun	company.TP
[...]	Verb	dur?
gil	Verb	?,fly?
utri	Noun	platform?,under
ola	Verb	walk,go.around
quse	Noun	body
at	Verb	put,do,build,leave,prepare
olam	Noun	butt?,inside,hole
saman	Noun	outrigger.TP
nono	Verb	get.close.to
am	Noun	mother,mistress?
agle		?
damu	Adjective,Noun,Adverb	inside,intens,true
ab	Noun	father
em	Verb	2s.rpst/fut,2s.rpst,2s.fut,3s.fut??,2s.imp?
toura	Noun	sail
qeil	Noun	decoration
Soŋgum	ProperNoun	Songum
kosoŋgor	Noun	voice
mam		hungry
sasam	Noun	shark
lat	Verb	forget
qaboq	Verb	be.full?
nau	Noun	bamboo
gatuŋgu		(magic.word)
qur	Verb	cut
qau	Noun	betelnut
mumun		1ns.prs.dur?
binja	Noun	split.wood?
oq	Verb	go.up
sande	ProperNoun	Sunday.TP
are	Noun	liver
añiñi	Adjective	big.redup
alen	Adverb	right.now
lalai		slow
rasia	ProperNoun	Russia
quli	Verb	hide
bil	Verb	mark?,stop
yaya		send
osale	Verb	remove,unfold
kadei	Noun	friend
mablum	Noun	flying.fox
aliw	Adverb	day.before.yesterday
Garim	ProperNoun	Garim.place
qurat	Verb	finish
e		q
wisil	Noun	weasel?.TP
qaly		
iŋgi	Noun	food
eben	Verb	23ns.fpst
añi	Adjective	big
mar	Verb	talk
dabu	Noun	side
yalum	Pronoun	1di.poss
eqen	Verb	3s.prs?,prs.perf?
it		caus
i		?
Yambambu	ProperNoun	Yambambu.snake
skul		school
man	Noun	man.TP
sub	Verb	push.TP
qeij	Noun	cockatoo
wur	Verb	finish
wal	Noun	sea
bekim	Verb	respond
pam	Particle	(onomat.for.flying.fox)
wawasa	Noun	ancestor
Rumbau	ProperNoun	Rumbau
gamba	Noun	coconut.shell
briŋti	Adjective	other
Guabe	ProperNoun	Guabe.place
sel dul	Noun	phone (vine vein)
i	Verb	give?
temur	Noun	wind
am	Interjection	um?
dodo	Adjective	little
qaubi	Adjective	white
piliŋ	Noun	clear
akai	Noun	grandchild,grandparent
agrag	Verb	be.annoyed.at
ande	Demonstrative	this
uli		hide
enes	ProperNoun	Enes.name?
qoqoros	Noun	firefly
surmai	Noun	fish.sp
kolmen	Noun	Coleman.lamp
memes	Verb	12s.iter.r.ss?
uru	Verb	fly
jiglain	Noun	k.o.pandanus
sisi		news
neŋgereŋ	Noun	school
gai	Noun	uncle
Yabui	ProperNoun	Yabui
ŋg	Verb	2ns.obj
bele	Noun	place
nal	Verb	change
sait	Noun	site.TP
dadal	Noun	plant.sp
oqgin	Verb	come.up
debul	Noun	thigh
qoraŋ	Noun	small.intestine?
ulul	Noun	sand
qapou	Noun	?
gogmu	Noun	village
betaqt	Verb	tackle
tag	Verb	fill.up,scoop
kokorla	Interjection	rooster.onomat
alwe	Noun	sharp,point
kuli	Noun	great.great.grandfather
umbuq	Verb	fall.down
Toya	ProperNoun	Toya
musen	Verb	1ns.prs.hab
ajai	Noun	grandmother
quji	Adjective,Adverb,Postposition	one,together,same,with
Gumbu	ProperNoun	Gumbu.place
injeroq		make?
aq		
sisiu	Noun	personal.information?,state.of.being
[...]	Adjective	iter?,pl?,emph
saqarum	Noun	stone
qaigi	Noun	tooth
juqa	Noun	cassowary
und		that
orait	Particle	okay.TP
isroŋu	Adjective	red
raba	Noun	rubber.TP
Korenduk	ProperNoun	Gorendu
milyaqun	Noun	brush.turkey
sumbi	Adjective	black
bek	Verb	respond
qawe	Adjective	new
isoŋ	Noun	spirit
ndam	Noun	3s.poss
usul	Verb	shake
namur	Noun	fat
qouna	Adjective	old
bul	Verb	turn
mi	Verb	talk.to
neŋgut	Adjective	cold
polort		
bokonom	Noun	meat
joŋ	Verb	flutter.around
naram	Noun	bundle
quribi	Postposition	with,all,together
dona	Noun	bone.tool
yi	Noun	water,beer
keŋeneŋ		
jaqanam	Noun	crayfish
qom	Noun	fog
beg	Noun	bag.TP
si	Verb	be,sit,stay,have
doŋ	Verb	break.off
qei	Noun	butt?/thing?
egau	Verb	ifut?
ne	Verb	see
ib	Verb	2ns.imp
qaqali	Noun	look
sawe	Verb	know.TP
iw		hab?
Mas	ProperNoun	Mas
tar	Verb	lie.on.back
poq		boil
aŋu	Verb	stand.up
ŋamqu		?
siw	Verb	laugh
qosiw	Noun	wrist?
mey	Verb	sit
esen	Verb	3s.prs.hab
maliŋ	Noun	dawn,time
ŋamgi	Noun	eye
ailan	Noun	island.TP
Jemen	ProperNoun	German
deŋdeŋ		straight
bus	Verb	3ns.?
momor	Adjective	childish
boyo	Noun	dessert
bere	Noun	top
moga	Noun	banana
ou	Verb	answer
undi		other.side?
momaŋgamba	Noun	forehead
ñuqulam	Noun	leg.mark?
priq		shake
away	Verb	buy
bane	Noun	branch
miŋ	Adjective	dark
nam	Noun	2s.poss,1s.poss?
ñeñik	Noun	fly
bale	Noun	root
siwoni	Noun	fruit.sp
eo	Noun	loc
ari		
qoqoleti		four
oyu	Noun	butt
soqam		stick?
jeraw	Verb	run,go.separate.ways
er	Verb	??,dur?
buk	Noun	book.TP
sawe	Adverb	there
Bog	ProperNoun	Bog
papai	Noun	papaya
Qurenduk		
oŋgin		return/come
moqal	Noun	below
ŋaŋgli	Noun	woman
