luː,รู้	Verb	know
bak,บัก	Adverb	augmented
ɲoːm,โยม	Pronoun	2 person for monks
อาโวกาโด้		
นำกัน,namkan	Adverb	together
lɛːk,แลก	Verb	trade
taj,ตาย	Verb	die
น้อ,nɔː		prt.wonder
dəan,เดือน	Noun	month
มีด,miːt	Noun	knife
sajaːm,สยาม		Siam
pap,ปั๊บ	Adverb	promply
dəː,เด้อ	Particle	weak imparative
เกาะ	Particle	Q.Presup.info
พระ,pʰa	Noun	monk,title.monk
จั่งแม่น,caŋmɛːn		commentative
kʰwaːm,ความ		nominalizer
pʰonlamai,ผลไม้		fruit
บ่,bɔ	Particle	neg,Q. or not
ที่,tʰi	Noun,Adposition	at,place
ทาง,taːŋ	Noun	way
di,ดี	Adjective	good
รู้สึก,lusɯk		feel
pɛː,แปล	Verb	translate
เล่า,lao	Verb	tell
mɔː,หมอ	Noun,Classifier	expert,Cl.person
jaːj,ย้าย	Verb	move
tʰahaːn,ทหาร	Noun	soldier
แต่,tɛː	Adverb,CoordinatingConnective	only,but
เอ่ย,ʔəj	Verb	say
ค่อย,kʰɔj	Adverb	gently
ยัง,ɲaŋ		still
กาย,kaːj	Verb	pass
แจบ,cɛːp	Adjective	finely, completely
sao,เซา	Verb	stop
nɔpnɔm,นอบน้อม	Verb	humble
คอ,kʰɔː		neck
pana,พะนะ	Particle	quotative
diaw,เดียว	Numeral	one
แย้มฝาโลง		a near-death stage, as a result of old age
kʰoːn,โคน	Noun	tree trunk
จาก,caːk	Verb,Adposition	from,depart
kanʔeŋ,กันเอง	Adjective	friendly
เหมิด,məːd5	Verb,Adjective	run.out,all
มารยาท,malajat	Noun	manner
ʔan,อั่น		filler
pintoː,ปิ่นโต	Noun	tiffin
บึ้ง,bɯɲ	Adjective	pout
pʰɔːɲaj,พ่อใหญ่		title.respected man
pʰisuːt,พิสูจน์	Verb	prove
tʰit,ทิศ		direction
jɛː,แย่	Adjective	bad
ลูก,luːk	Classifier	fruit
ตก,tok	Verb	fall.from
สวย,suaj		late
พุง,pʰuŋ	Noun	belly
เทิง,tʰəːŋ	Adposition	on top of
คืน,kʰɯːn	Noun,Adposition	night,back
nɛː,แหน่	Particle	request
ปีน,piːn		climb
paːndai,ปานใด๋		Q.quality
ฮ่ม,hom		umbrella
จูง,cuːŋ		pull
hɔːŋ,ฮอง		support
tiam,เตรียม	Verb	prepare
sensə,เซ็นเซอร์	Verb	sensor
แสดง,sadɛːŋ	Verb	show
จั่ง,caŋ		so that
kʰiː,ขี่		ride
suk,สุข	Adjective	happy
tɔː,ท่อ		qual
วา,wa		temple
canoːd,โฉนด	Noun	deed
si,สี่	Numeral	four
suan,ส่วน	Noun	part
ส่วย,suaj	Verb	worsen
ทา,tʰaː	Verb	apply
พุ้น,pʰun	Demonstrative	distal
พบ,pop	Verb	meet
ไป่,paj	Particle	Q.yet. or not
kʰaotʰaː,เข้าท่า	Adjective	great
taŋ,ตั้ง	Verb	stand
ŋaːn,งาน	Noun	work
tʰaj,ท้าย		last
ว่า,waː	Verb	say
haːt,ฮาด	Verb	pour over
ผุ		
ธรรมาสน์,tʰammaːt	Noun	throne designated for sermons
nuaj,หน่วย	Classifier	Cl.roundshaped
แอปเปิ้ล		
sana,ชนะ	Verb	win
daː,ด่า	Verb	scold
ซอม,sɔːm	Verb	peek
เพลง,pʰeːŋ	Noun	song
มือ,mɯː	Noun	hand
จุด,cut	Verb	light.fire
เฮีย,hia	Noun	sweat
cawaː,จะว่า		whether
ลิโตน,litoːn	Verb	pity
laŋ,หลัง	Classifier,Adposition	Cl.building,behind
เต็มที่,temtʰiː	Adjective	in full
โพด,pʰoːt	Adverb	too much
คะเจ้า,kacao	Pro-form	3 person pl
lak,ลัก	Verb	steal
ทัน,tʰan		not yet
rɛːk,แรก	Adverb	first
ขี้ดื้อ,kʰidɯː	Adjective	naughty
tak,ตัก	Verb	scoop
พลิก,pʰik	Verb	flip
ข้าว,kʰaw	Noun	rice
ร้อง,lɔːŋ	Verb	sing
sat-sa-naː,ศาสนา	Noun	religion
tonmai,ต้นไม้	Noun	tree
tɔːn,ตอน		period
รั้ว,lua		fence
รถ,lod	Noun	vehicle
suːŋ,สูง	Adjective	high
mɛː,แม่		mother
lam,ลำ	Noun	traditional song
เหลือ,ləa	Verb	remain
เร็ว,lew	Adverb	quickly
lɔːj,หลอย	Verb	sneak
kʰaːŋ,ข้าง	Noun	side
ย่าน,jaːn	Verb	fear
siadaːj,เสียดาย	Verb	regret
ŋəːn,เงิน	Noun	money
niaw,เหนียว	Adjective	sticky
san,ซั้น	Particle	in this manner*
loŋŋaːn,โรงงาน	Noun	Factory
ล้าน,laːn	Numeral	million
แพะ,pʰɛ		
huaj,หวย	Verb	lotto
nɔ,เนาะ	Particle	seek.agreement
luːp,ลูบ	Verb	caress
maːk,หมาก	Classifier	fruit
ประกัน,pakan		insurance
siaː,เสีย	Verb	lose
dæt,แดด	Noun	sun ray
ไทย,tʰaj	Noun	Thai
kʰoŋ,คง		probably
nɯŋ,นึง	Numeral	one
สิบ,sip	Numeral	ten
kʰom,ข่ม	Verb	push down
ล้น,lon	Verb	overflow
เด้,deː		factive
มัน,man	Pronoun	3 person
tɔːp,ตอบ	Verb	respond
jaːj,ยาย	Noun	grandma
sɯː,ซื้อ	Verb	buy
ฟังออก,fangʔɔːk	Verb	comprehen
สี,siː	Verb	mill
ɲaːm,ย่าม		bag
สร้าง,saːŋ	Verb	build
pɛːt,แปด	Numeral	eight
suk,สุข	Verb	ripe
หนึ่ง		
เลข,leːk	Noun	number
ลาน,laːn	Noun	field
kɯn,เกิน		exceed
หลาน,laːn	Noun	grandchild
วง,woŋ	Noun	band
ออนซอน,ʔɔnsɔn	Verb	admire
คืบ,kɯːp		unit of distant
วิชา,wisaː	Noun	subject
คา,kʰaː	Verb	be.stuck
awokado,อาโวคาโด้		avocado
nayok,นายก	Noun	prime minister
jaːk,อยาก	Verb	want
dɛː,แด่		to
ʔasiːp,อาชีพ	Noun	career
lɯaŋ,เรื่อง	Noun	topic
เข้า,kʰao	Verb	enter
คล้าย,kʰaːj		similar to
กลับ,kap	Verb	return
baːt,บาด		when
kɔːn,ก่อน	CoordinatingConnective	before
kʰɛŋlɛːŋ,แข็งแรง	Adverb	strong
caw-pʰaːp,เจ้าภาพ	Noun	host
duː,ดู๋	Adverb	often
maːk,มาก	Adjective	much
ปี,pi	Noun	year
pʰɛːn,แผ่น	Classifier	Cl.sheet
ʔiɲaŋ,อีหยัง		what
เลา,law	Pronoun	3 person
จ้อย,cɔːj	Particle	unfortunately
พัน,pʰan	Verb	wrap
ไหม้,mai	Verb	burn
kʰɔŋ,ข้อง	Verb	concern
นี้,niː	Demonstrative	here
งึด,ŋɯt	Verb	astonished
กะดาย,kadaːj	Particle	afterthought
คือ,kʰɯː	Verb	be.like
setʰakit,เศรษฐกิจ	Noun	economy
ทำ,tʰam	Verb	do
น้ำ,nam	Noun	water
hok,หก	Numeral	six
นิมนต์,nimon	Verb	invite. monk
la,ละ	Particle	assuring
ta,ตา	Noun	eye
pʰajuŋ,พยูง		rosewood
wad,วัด	Noun	temple
บาดหมาง,baːtmaːŋ	Verb	feud
yɯːn,ยืน	Verb	stand
นินทา,nintʰaː	Verb	gossip
จัด,cat	Verb	categorize
mai,ใหม่	Adverb,Adjective	new,again
ʔpʰaj,อภัย	Noun	forgiveness
ร่วม,luam	Verb	attend
saʔaːt,สะอาด	Adjective	clean
แดง,dɛːŋ		red
โต,toː	Pronoun,Classifier	Cl.Body,2 person
จั่ง,caŋ		then,in.manner
ชื่อ		
คุย,kʰuj	Verb	chat
kənom,ขนม		snack
จับ,cap	Verb	hold
ta,ตา	Noun	eye
bu,บุ	Particle	don't know
niw,นิ้ว	Noun	finger
jaːm,ยาม	Verb	visit
ทอง,tɔːŋ		gold
จารย์		
เหล้า,lao	Noun	liquor
sɔj,ซอย	Verb	help
อ่าน,ʔaːn	Verb	read
tʰaːn,ฐาน	Noun	base
มอเตอร์ไซค์,mɔtasai		motorcycle
พ้อม,pʰɔːm	Adverb	too
พร,pɔn	Noun	blessing
hua,หัว	Verb,Noun	laugh,head
mɔŋ,หม่อง	Noun	place
โลด,loːt	Particle	without ado
สัน,san	Verb	eat.monk
เหลือโตน,lɯatoːn		pity
จริง,ciŋ	Adjective	true
โปะ,po	Verb	put.on
มัน,man	Adjective	fun
kʰɯt,คึด		
เรื่อยๆ,lɯːj	Adverb	unhurriedly
nɔːk,นอก	Adjective	outside
naː,นา	Noun	rice paddy
บัด		
ล่ะ		
tʰɛːw,แถว	Noun	row
kʰɛː,แค่	Adverb	only
kʰuat,ขวด	Noun	bottle
tʰuŋ-nɔŋ,ถุงน่อง		tights
ลูก,luːk	Noun	kid
ฉะนั้น,canan	Connective	Therefore
แข็ง,kʰɛŋ	Adjective	hard
taːm,ตาม	Verb	follow
loŋ,หลง	Verb	be.lost
ผู้		
ขา,kʰaː	Noun	leg
doŋ,ดง	Noun	jungle
sɛːw,แซว	Verb	tease
haːŋ,ห่าง		distance
kɔːn,กลอน	Noun	poem
ล็อก,lɔk		lock
อย่าง,jaːŋ	Noun	thing/type
la,ละ		each
ta,ตะ	Adposition	from
มึน,mən		naughty
lɛːw,แล้ว	Verb	finish
เสริม,səːm	Verb	add
เจ้า,cao	Noun	lord
เริ่ม,ləːm	Verb	begin
ka,กะ	SubordinatingConnective	then
kʰɔːŋ,ของ		of
pʰra-sammasampʰuttacaw,พระสัมมาสัมพุทธเจ้า	Noun	Lord Buddha
kʰwaːŋ,ขวาง	Adjective	block
lɛːw,แล้ว	Particle	already
tʰiːdin,ที่ดิน	Noun	land
huː,หู	Noun	ear
บริการ,bɔːlikaːn	Verb	provide service
สาว,saːw	Noun	lady
เดิน,dəːn	Verb	walk
ʔaːtamaː,อาตมา	Pronoun	1person for monks
มุข,muk	Noun	joke
ศพ,sop	Noun	corpse
สวัสดี,sawadiː	Noun	welfare
kuam,ความ		nominalizer
naː,หน้า	Noun	front,face
โดน,doːn	Adverb	long.time
ขาย,kʰaːj	Verb	sell
kʰɔː,ขอ	Verb	beg
viːdiʔo,วิดีโอ		video
faŋ,ฝัง	Verb	bury
อยู่,juː	Verb	stay
nɔːn,นอน	Verb	sleep,lie
เหี่ย,hia	Verb	fall
คือ		why
ตอด,tɔːt	Verb	peck
tʰa,ท่า	Noun	posture
เวที,wetʰi	Noun	stage
เปื้อน,pɯan	Noun	stain
เมื่อ,mɯa	Adverb	when
เถาะ,tɔ	Particle	suggestive
ตี,ti	Verb,Noun	hit,time.before sunrise
ʔeːŋ,เอง	Adverb	by.self
ไส,sai		where
kamlai,กำไร	Noun	profit
ลืม,lɯːm	Verb	forget
บัด,bat		when
จะแม่น		
son,ชน	Verb	crash
อังกฤษ,aŋkit	Noun	English
cet,เจ็ด	Numeral	seven
Isaːn,อีสาน	Noun	Isan
ใหญ่,ɲai	Adjective	big
kʰiat,เคียด	Verb	upset
เฮ็ด,het	Verb	do,make
นิทาน,nitʰaːn	Noun	story
เหลียว,liew		look.at
loːŋ,โรง	Classifier	Cl.building
คือ,kʰɯː	Copulative	COP
หมา,maː	Noun	dog
อ้าย,ʔaj	Noun	older brother,Older sibling
tʰaaj,ถ่าย	Verb	photocopy
งัว,ŋua		cow
เต็ม,tem		filled
โลง,loːŋ	Noun	coffin
ชาว,saːw		folk
set,เสร็จ	Adverb	finish
salaːt,ฉลาด	Adjective	smart
รวย,luai	Verb	rich
เก่ง,kɛŋ	Adjective	talented
หยัง,ɲaŋ	Pro-form	what
เทีย,tia		times
ผ่าน,pʰaːn	Verb	pass.through
laŋ,ลัง		some
เดี๋ยว,diew5		awhile
โมโห,moːhoː	Adjective	angry
ภาษา,pasa	Noun	langauge
เมื่อย,mɯaj	Adjective	tired
tɔːn,ตอน	Noun	at.time
นั้น,nan	Determiner	that
miː,มี	Verb	have
ที,tʰi		time
tʰamma,ธรรมะ	Noun	dharma
ʔɔj,อ่อย	Verb	lure
neːn,เณร	Noun	young monk
เรือ,ləa	Noun	boat
kuat,กรวด		pour
cɔːt,จอด	Verb	park
ɲin,งิน	Verb	pour drink
jɛːm,แย้ม	Verb	disclose
ทาย,tʰaːj	Verb	guess
เอื้อย,ʔɯaj	Noun	older sister
มัก,mak	Verb	like
ใน,nai	Adposition	in
ข้อ,kʰɔː	Noun	joint
แป้ง,pɛːŋ	Noun	powder
cakajaːn,จักรยาน		bicycle
ซ่ำ,sam	Verb	equal
saːlaː,ศาลา	Noun	pavilion
pʰa-tʰaj,พระทัย	Noun	heart.royal
หลบ,lop	Verb	hide
คุณค่า,kʰun-kʰaː	Noun	value
ชาย,sai	Noun	male
hai,ไห้	Verb	cry
paː,พา	Verb	lead
lɔːm,ล้อม		encircle
ton,ต้น	Classifier	Cl.tree-like
soŋ,สงฆ์	Noun	monk
nɛː,แหน่	Adverb	a little
tʰɛːn,แทน	Verb	in.place.of
ดาว,daw	Noun	star
เผา,pʰao	Verb	burn
รักษา,laksa	Verb	keep/save
บ้อ		
ภาพ,pʰaːp	Noun	picture (formal),painting
kəːt,เกิด	Verb	born
เสื้อ,sɯa	Noun	shirt
นั่น		
ni,นี่	Determiner	this
เก็บ,kep	Verb	collect
maj,ไม้	Noun	wood
kalaŋ,กำลัง	Noun	strength,Prog
sɯː,ชื่อ,ซื่อ	Noun	name
เขียน,kʰian	Verb	write
tʰaːm,ถาม	Verb	ask a question
kʰanat,ขนาด	Noun	size
wajlun,วัยรุ่น	Noun	adolescent
แม่ใหญ่,mɛ-ɲaj	Noun	mother-big
ธรรม		
təlɔːt,ตลอด		always
ɲaːm,ยาม	Adverb	when
pʰaːk,พากย์	Verb	voice-over
ยิ้ม,jim	Verb	smile
อ้อย,ʔɔːj	Noun	sugarcane
lin,ริน	Verb	sprinkle
waːŋ,วาง	Verb	put.down
อยู่,juː		COP
ดอก,dɔːk	Particle	factive.resist
เบาะ,bɔ	Particle	Q.polar
paːt,ปาด	Verb	cut
ɲiŋ,หญิง	Noun	lady
เติบโต,təptoː	Verb	grow
ka,กะ	CoordinatingConnective	and
คณะ,kʰana		group
ยัด,ɲat		stuff
pʰɔm,ผม	Noun	hair
น้อย,noi	Adjective	small
พัฒนา,pʰattana	Verb	develop
เล็ก,lek	Adjective	tiny
waːn,หวาน		sweet
แม่น,mɛːn		COP
ไล่,lai	Verb	chase
pan,ปั่น		paddle
รับ,lap	Verb	receive
พี่,pʰi	Demonstrative	right here
ติ	Particle	bipolarQ
ʔaːj,อาย	Adjective	shy
pʰəːm,เพิ่ม		increase
faːk,ฝาก		give
กุศล,kuson	Noun	merit
ma,มา	Verb	Come,PRF
kap,กับ	Adjective	with
กล้า,kaː	Verb	dare
แอก,ʔɛːk		yoke
แหบ,hɛːp	Adjective	hoarse
ฮอด,hɔːt	Verb	arrive
ฮ้อน,hɔːn	Verb	hot
pʰəa,เพื่อ		to/for
niː,หนี	Verb	escape
