gɨhɨr	Noun	corn
Kursav	ProperNoun	Kursav
asam	Noun	boy
muruvu	Verb	buy
prarav	Verb	thunder
rubo	Noun	bed,place
kode		?
gaham	Noun	sweat
apama kata	Noun	thumb
vam		many
sorum		do.carelessly
gunawai	Noun	bird.sp
watɨka	Verb	look.for
amɨna	Noun	breast
yatah		sell
reraka	Verb	turn
mɨrɨm	Noun	sap
Maure	ProperNoun	Maure
Usino	ProperNoun	Usino
vɨga	Verb	fall,arrive
koro	Verb	3sg.imp
weda	Verb	make
stret	Adverb	exactly
koŋe	Noun	bandicoot
au	Noun	wing
menmen	Noun	sin
biras	Noun	decoration
kura	Noun	man
tɨkɨr	Noun	tree.sp
kagre	Noun	vine.sp(Gende)
buk	Noun	book
nɨtɨbu	Noun	custom
sɨba	Noun	nail
numua	Noun	penis
sukuna	Adjective	closed
sakwe		write
nimi	Noun	brains
oko	Verb	3pl.ds
nanɨ	Verb	2pl.obj
nɨnɨ		3pl.poss
mɨnei	Noun	time
mɨrara		char?
komo	Noun	plant.sp
oma	Adjective	new
sɨka	Noun	pig
mota		nose
okei	Interjection	okay
kuna	Verb	2sg.ds
taidua		mess.up
taitai	Noun	bird.sp
midim	Adverb	before
moro	Verb	3pl.ufut
kin	Noun	sore
mopar	Noun	python
sarua	Noun	work
konou	Verb	3pl.imp
aŋ	Verb	2
sɨkasɨka	Adverb	completely
apapɨre	Noun	butterfly
giroma	Noun	k.o.drum
amudu	Noun	bird.sp
iv	Noun	house
ya		1sg.poss
skra	Verb	put
yaka	Verb	go.up
buhom	Noun	lizard.sp
tisa	Noun	teacher
kuru	Verb	1pl.ds
kubut	Noun	hole,door
yaku	Pronoun	1sg.poss
tu		beat
nivenive	Noun	bird.sp
nɨs	Noun	calf
wia	Noun	thunder
taku	Noun	moon
kegra	Verb	wind.up
du	Verb	do
nanuku	Pronoun	2pl.poss
niŋo	Noun	seed
tasol	Particle	but
wati	Adverb	just
kwavɨhav	Noun	tree.sp
nuatɨr	Noun	fire
kuvu	Adjective	heavy
omabu	Noun	beginning
Yagwasa	ProperNoun	Yagwasa
tɨtɨra	Verb	2pl.ds.sim
Amerika	ProperNoun	America
agu	Noun	throat
kayag	Noun	bird.sp
akunu	Verb	sleep
nɨkɨr	Noun	calf
muko	Noun	bird.sp
es		rest
totou	Noun	question
kwana	Noun	plant.sp
gorum	Noun	lizard.sp
kɨvɨr	Noun	darkness
in	Verb	stay
gɨnar	Noun	pandanus
sarɨm	Noun	needle
rɨpa	Verb	fear
komda	Noun	snake.sp
awara	Noun	beam
ka	Demonstrative	top
bini	Postposition	loc
d	Verb	hab
nɨtɨman	Noun	edge
oŋ	Verb	3pl
goro	Noun	banana
n	Demonstrative	loc
diki	Noun	bird.sp
kemoro	Noun	tree.sp
raiwa	Verb	follow
turu		join.together
ruko	Verb	see
s		k.o.sibling
yes	Interjection	yes
rereka	Verb	turn
sopa		k.o.sibling
gedi	Noun	ringworm
ivisu	Noun	rat.sp
vu	Verb	get
wakarama	Verb	tie
kavre		there
marau	Verb	2pl.ufut
sidi	Adjective	closed
sure	Adverb	after
hata	Particle	pl
asava	Noun	sibling.1sg.poss
kinam	Noun	near
ne	Verb	be
arana	Adverb	daytime
isa	Verb	bite
vɨda	Noun	ridge
Vrewa	ProperNoun	Flewa
kɨdɨwa	Noun	possum.sp
sai	Noun	tree.sp
mɨda	Noun	grass.sp
tasidi	Verb	glue
sugor	Noun	pubic.hair
pakut	Noun	basket
taiwara	Verb	bump.into
kumo	Verb	die
tagi		first
wata	Noun	frog.sp
ete	Noun	boundary
bomkeme	Noun	snake.sp
vana	Noun	bag
vuko	Verb	slap
ben	Noun	star
maski	Interjection	nevermind
navɨda		daughter
so	Particle	so
kapo	Verb	carry
asagu	Verb	go.across
kreŋkreŋ	Noun	bird.sp
kim	Noun	bow
mɨge		mother
kena	Adjective	seven
sokai		go.around
kine		and?
agɨdem	Adjective	good
rava	Verb	pick
sikina	Noun	sick.person
nɨga	Adjective	spec
nɨsika	Noun	piece
sake	Adjective	three
vɨsa	Verb	get
pɨre	Noun	frog
paide	Noun	snake.sp
neite	Noun	time
tevor	Noun	table
taŋar		man.i.l.
wi	Noun	pain
bainam		variety
uara	Verb	2pl.nfut,2pl
taure	Noun	table
a	Interjection	ah
sanav	Noun	stone,money
na	Pronoun	2sg
aya	Noun	food
asa		
oise	Interjection	okay
si	Postposition	ben
imo	Verb	put.in
opim		open
rip	Verb	thatch
kwai		friend
Warawas	ProperNoun	Warawas
sigi	Noun	pot
kɨvarug	Verb	get.up
kweita	Verb	sharpen
pavɨr	Adverb	only
sau	Noun	axe
kwabi	Noun	ashes
nɨmar	Noun	top
itavi	Adjective	correct
awia		father.1sg.poss
Don	ProperNoun	Don
ai	Interjection	hey
rɨbu	Verb	swallow
niga	Adjective	four
amaka	Noun	breadfruit
awi		father.voc
Marum	ProperNoun	Marum
mugura	Verb	bathe
da	Verb	ss
kogra	Verb	boil
momgo		sister
botol	Noun	bottle
koven	Verb	cook
maket	Noun	market
ɨra	Verb	2pl
ania		mother.1sg.poss
kwamte	Adjective	yellow
mamda	Noun	taro
isi	Adverb	slowly
kwari	Adjective	crooked
wara	Verb	call.out
nuku	Pronoun	3sg.poss,poss
nunuku	Pronoun	3pl.poss
wa	Verb	move
siai	Noun	bird.sp
kwai	Postposition	inside
rosa	Adjective	bright
anas	Adjective	nine
nom	Adjective	female
omasar	Noun	snake.sp
bia	Noun	beer
mʔm	Interjection	ah
mɨte	Adjective	full
mahra	Noun	anger
sɨbɨka		mouth
ka	Demonstrative	md
vaga	Noun	leaf
etete	Verb	3sg.ds.sim
aba	Verb	speak
kwani	Noun	k.o.cane
taitua	Verb	pour
idua	Adjective	bad
mata	Verb	leave
ya	Pronoun	1sg
nuai	Adjective	different
guva	Verb	bow.head
arɨm		laugh
irɨka	Verb	cry
bamur	Noun	vine.sp
Nokoboi	ProperNoun	Nokomboi
sakum	Adjective	many
mou	Noun	possum.sp
[...]		very
mo	Verb	go
kidi	Postposition	loc
tuai	Noun	palm.sp
tar	Noun	tree
nɨkada	Adjective	true
atis	Adverb	why
amɨgo	Noun	year
Madaŋ	ProperNoun	Madang
kivɨrde	Adverb	night
tavavaid	Verb	fasten
yamo	Noun	vine.sp
sinam		butt
misi		desid
ni	Noun	loc
gara	Adjective	long
nei		time
nɨ		3sg.poss
akɨna	Noun	crocodile
varevu	Verb	hear
era	Noun	bird.sp
a	Verb	2sg
ab	Noun	k.o.plant
rug	Verb	stand?
sarim		send,sell
Gararikut	ProperNoun	Garaligut
waka	Verb	tie
wadiri		face
nerɨbu	Verb	swallow
uhauha	Noun	bird.sp
kwadim		shadow,picture
ita	Verb	hold
wakara	Verb	tie
va	Verb	say
kwam	Noun	bracelet
manau	Verb	2sg.ufut
kɨva	Verb	get.up
Wauya	ProperNoun	Wauya
rama	Verb	write,make,put
abre		below
oe	Interjection	huh
sada	Verb	care.for
tɨbrɨm	Noun	cucumber
bu	Verb	give
map		liver
kobe	Noun	bird.sp
kasɨm	Noun	knife
Kalivonia	ProperNoun	California
i	Demonstrative	nd
kriha	Noun	joint.work
mɨr	Noun	mud
olgeta	Adjective	all
waiba		grandfather.1sg.poss
kapa	Noun	bird
mm	Interjection	mm
yagumura	Adjective	red
rainim		line.up
naba		wife
wau		grandfather
apama niga	Noun	four
vɨgaru	Verb	come.down
merkua	Noun	shrub
kwabi agor	Noun	wallaby.sp
nɨŋ	Adjective	sharp
tor	Noun	court
tamiok	Noun	axe
arigaite	Adverb	two.days.away
buk		break
ukap	Adverb	just
ya	Verb	1sg.obj
vonovono	Noun	bird.sp
kwe	Particle	none
darɨha	Noun	k.o.pandanus
kwegɨ		armpit
wai	Noun	bamboo.sp
Yua	ProperNoun	Yua
kuria	Noun	coconut
ikwati	Adjective	small?
vra		mult
mɨda siu	Noun	snake.sp
viou	Noun	cloud
vuruva	Noun	village
kadu	Verb	do.thus
kupu	Noun	lime
hausik	Noun	hospital
awanɨm	Noun	possum.sp
pakpakwit	Adverb	each
rou	Adjective	burned
piksa	Noun	picture
maka	Noun	husband
dau keke	Noun	bird.sp
taraka	Verb	turn
vrɨga		upper.back
mes		aunt
Ana	ProperNoun	Anna
nuenue	Noun	rafter
tauda	Noun	k.o.drum
mot		read
kwai		peel
sigav	Noun	arrow
orait	Interjection	alright
yai	Noun	mustard
ikwatat	Adjective	tiny
usua	Noun	sand
kura	Verb	2pl.ds
m	Verb	ptcp
ragura	Verb	care.for,await
tat	Adverb	right.now
Ebu	ProperNoun	Usino.people
mede	Noun	sago
pakuti	Adjective	one
kisɨrɨ	Verb	bind
itu	Noun	tobacco
kɨm	Noun	sprout
ba	Pronoun	emph
kupi	Verb	cook
agap	Adjective	how.many
para	Particle	exst
sirisoru	Verb	mess.around
mi	Noun	thought
iwara	Noun	eel.sp
kahinam	Noun	bird.sp
katkoro	Noun	bird.sp
sopu	Verb	fart
kwarako	Particle	but
nonavɨda	Noun	daughter
kɨsar	Noun	spear,fight
pabin	Adjective,ProperNoun	five,Friday
an	Pronoun	1pl
amarte	Adverb	tomorrow
vogu	Noun	meat,possum
rubrama	Verb	sit
koma		arm
kwaka	Verb	cut
pipisi	Noun	bird.sp
pa	Adjective,Adverb	one,only
ikwat	Adjective	k.o.sibling,small
guro	Noun	speech
so	Noun	feces
si		egg
ta		nmlz?
kwabu	Adjective	short
sut	Noun	shot
uhu	Adverb	just
soro	Postposition	com
nɨdɨr	Noun	strength
kura	Verb	2pl.imp
skɨr	Noun	digit,seed
ba	Demonstrative	qd
tɨb	Verb	first?
nuri		inside
m	Demonstrative	temp
use		above
avɨga	Noun	kindling
uravu	Noun	papaya
kada	Noun	disease
ra		k.o.sibling
manab	Noun	bird.sp
Manepur	ProperNoun	Manepur
nɨ	Pronoun	3sg
taramɨra	Verb	take.back
av	Noun	fire
kwat vaŋa	Noun	basket
wewe	Noun	mango
tɨt	Verb	1sg.ds.sim
kunbar	ProperNoun	Sunday
anuku	Pronoun	1pl.poss
nikir	Noun	vine
waskia	Noun	bird.sp
Tɨraria	ProperNoun	Tɨraria
dama	Verb	start
atɨ	Noun	what
kev	Adverb	thus?
korou	Noun	k.o.pandanus
kalabus	Noun	jail
gwayam	Noun	old.man
godowa	Noun	bird.sp
kuto		thigh
nɨŋam		k.o.sibling
mɨda		son
bisa	Postposition	ins
kasi	Noun	mosquito
taris	Noun	possum.sp
awanɨm sar	Noun	snake.sp
sidihe	Noun	snake.sp
kiu	Adverb	dusk
nimia	Noun	stump
sokuta	Verb	sharpen
[...]		adjz?
makim		indicate
tiku	Noun	bamboo.sp
siki	Verb	hollow.out
vɨnai		below
maka	Noun	tooth
rabɨra	Verb	send
kwara	Particle	but
ramɨra	Verb	turn,return,tie.on
em	Interjection	that
kima	Noun	bug
kabra	Noun	shoulder
di		
tenteteres	Noun	bird.sp
anut	Noun	god
makarere	Noun	tree.sp
wagai	Noun	vulva
koprarama	Verb	jump
o	Verb	3pl.nfut,3pl
nan	Pronoun	2pl
agrai	Noun	bandicoot.sp
wai	Adverb	again
uŋ	Verb	1
mo		husband
bisim		daughter.i.l
tasor	Interjection	but
Sahwere	ProperNoun	Sahwere
Budu	ProperNoun	Budu
sike		grandfather
spor	Noun	grass
nabawan	Adjective	first
moga	Verb	go.down
ra	Adjective	num?
gweregwere	Noun	bird.sp
koruba	Noun	fly
kisɨ		bind
moruv	Noun	possum.sp
apama	Noun	finger
tawa	Noun	paper
gan	Noun	gun
ham		k.o.sibling
oga	Noun	mallet
amakasai	Noun	k.o.liver
anɨ		1pl.poss
Vahasi	ProperNoun	Fahasi
nono	Noun	child
sous	Adjective	eight
map	Postposition	like
karia	Noun	betelnut
rago	Verb	step.on
vara	Noun	side
mɨrɨbɨ	Noun	tree.sp
rigi	Adjective	dirty
mukum	Adjective	black
navɨda	Noun	girl,daughter
nagu	Noun	nape
sururu	Adjective	straight
taun	Noun	town
savsav	Noun	story
Rape	ProperNoun	Lape
kure	Noun	snot
saguraŋ	Noun	snake.sp
naria	Noun	sky
Maikel	ProperNoun	Michael
kirigam	Noun	bird.sp
ada	Adjective	left
ti	Noun	tea
griva	Verb	scratch
tata		cause?
agagis		firstborn
kwaida	Noun	chicken
Baiwe	ProperNoun	Baiwe
sa		?
sagura	Noun	arrow
na	Particle	and
saura	Verb	dance
waya	Noun	plain.sight
mɨrɨhin	Noun	plant.sp
ɨʔɨ	Interjection	uh-uh
tar du	Noun	bird.sp
prawa	Noun	flower
iduabaya	Noun	thing
nevena	Adverb	also?
kuna		father
make	Interjection	nevermind
warevida	Noun	vine.sp
o	Interjection	oh
ragota	Verb	stand
yarihe	Adjective	few
kɨvɨ		
itavɨ	Verb	be.correct
nɨŋa		all?
akusa		sleep
Yani	ProperNoun	Yani
ninibe	Noun	name
Ibruvaim	ProperNoun	Imbruvaim
yakoyako		dizzy
rawa	Verb	wash,rub
ibia	Noun	mat
ebevɨ	Verb	call
Imuruba	ProperNoun	Imuruba
sɨbaŋ	Noun	k.o.banana
nugwe	Noun	hunger
anɨ	Verb	1pl.obj
saga		skin
nabatu	Adjective	second
keda	Noun	platform
waka	Particle	maybe
ugu		?nating
vurumo	Adjective	cold
kata	Adjective	five,Wednesday,now?
vugaru	Verb	go.down
kubu	Noun	path
sakim		push
eŋ	Verb	3sg
obrama		
na	Verb	do.ss
kiriga		therefore
n	Verb	1sg.imp
kove		cook
kwariŋi	Adjective	crooked
duv	Noun	woman
pesa	Adjective	left
gum		blood
ku	Verb	2sg.imp
nɨn	Verb	3pl.obj
ya	Demonstrative	exst
kunum	Noun	wind
mɨtais	Noun	lizard.sp
sos	Verb	poop
paul		messed.up
vog		neck
vatur	Noun	k.o.drum
uva	Verb	blow
kou	Noun	vine.sp
Saguraŋ	ProperNoun	Sagurang
dirini	Noun	hill?
sɨrasɨra	Noun	wild.betelnut
bromkot	Noun	bird.sp
buvusi	Noun	tree.sp
e	Interjection	uh
tusa	Noun	hard.work
taunam	Noun	mosquito.net
nisi	Noun	egg
makar	Noun	lizard.sp
dasuai	Noun	k.o.greens
Amu	ProperNoun	Amu
Muikeme	ProperNoun	Muikeme
nanɨ		2pl.poss
md	Verb	fut
murmur	Noun	vine.sp
aur	Noun	bird.sp
Sasime	ProperNoun	Gende.people
tar		man.in.law
ariga	Adjective	two
yaŋra	Verb	disperse
naku	Pronoun	2sg.poss
koduam	Noun	tree.sp
va	Demonstrative	advz
spak		get.drunk
sɨvare		side.of.neck
kabu	Noun	palm.sp
avisia		grandmother
vuru	Verb	unite
vadɨ	Noun	skirt
trɨkam	Noun	bird.sp
bɨn	Noun	leash
na		2sg.poss
amnara	Noun	breastmilk?
sororo		push
soharere	Noun	bird.sp
somo	Verb	take
seve	Verb	bring
gweve	Noun	tree.sp
kokai	Adverb	very
kun	Verb	able?
vera	Noun	side
kra	Verb	burn
ara	Noun	sun
awar	Noun	plate
kidika		ear
wara	Particle	foc
penapena	Noun	bat.sp
amar	Adverb	yesterday
kereda	Adjective	green
masis	Noun	lighter
guru		unite
ketket	Noun	gecko
tɨtɨr	Verb	1pl.ds.sim
ne	Verb	tie
duru		greed
be	Particle	q
roto	Verb	bend
kaura	Verb	dig,bear,weave
vokur	Noun	fish.sp
prɨs	Noun	bat.sp
vivisau	Noun	bird.sp
surei		not.want
nɨp	Noun	buttress
du	Verb	bird.sp
v		uncle
sɨbar		fat
yam	Noun	big.axe
ɨt	Verb	irr
bini	Demonstrative	loc
toroka	Verb	make.fist
ima	Noun	louse
aure	Noun	happiness
sika		
Karani	ProperNoun	Karani
kwet	Noun	story
kayagɨ	Adjective	white
sapa	Adverb	very
Kamuhai	ProperNoun	Kamuhai
bri		outside
kuvo	Noun	k.o.sugar
avsikai	Noun	old.woman
vɨr		torso
nɨn	Pronoun	3pl
kuraka	Noun	tree.sp
kake		and.so?
Ibrum	ProperNoun	Ibrum
tawaya		present
yohov	Noun	shade
ŋata	Particle	pl
magra	Verb	pull
kot	Noun	crayfish.sp
arɨŋ		exist?
agor	Noun	wallaby.sp
vav	Demonstrative	advz
ibanem	Noun	bird.sp
kamo	Noun	wind
yariyari	Adjective	few
kapsai	Adjective	unripe
kobra	Verb	break
om	Noun	land
ivɨ	Noun	hamlet
kewa	Noun	tree.sp
waiva	Noun	cassowary
atonte	Adjective	sufficient
yamesɨm	Adjective	ten
Makari	ProperNoun	Makari
kokra	Verb	swell.up
uruku	Noun	pubic.hair
yohor	Noun	bowstring
ko	Particle	and
rapo	Verb	accompany
makapara	Noun	arrow
ɨr	Verb	1pl
ke	Particle	and
Goni	ProperNoun	Tauya.people
kɨva	Adverb	exactly
kot	Noun	court
nɨkɨr	Noun	meat
apa	Noun	housepost,branch
wem	Noun	yam
subu	Noun	testicle
kumokumo	Adjective	dry
imur	Noun	file
pepa	Noun	paper
komkom	Noun	taro
vigau	Noun	mist
gawar	Noun	joint
wa	Particle	maybe
arau	Noun	tree.sp
Ohia	ProperNoun	Ogia
tata	Verb	2sg.ds.sim
nisikɨr	Noun	fruit
kiwtete	Adverb	afternoon
kourai	Noun	bird.sp
ne	Pronoun	who
ŋata		head
sabu		lower.back
atonono	Adverb	thus?
vuga	Noun	k.o.bean
babaya	Noun	thing
nukaya	Noun	sort
ne	Verb	eat
kaura	Noun	loincloth
arɨk	Noun	middle
sahwei	Noun	tongue
tubuna	Noun	ancestor
suar	Noun	jail
vana sokai	Noun	milky.way
kwab	Noun	tree.sp
kwanawa	Noun	salt
Duhum	ProperNoun	Duhum
na	Verb	2sg.obj
raikim		like
sugo	Noun	hair
o	Particle	or
varvɨ	Verb	hear
suhuv	Noun	forest
yavki	Verb	come.up
nɨgav	Adjective	some
nivid	Noun	scab
olsem	Adverb	like
wede	Verb	make.bed
mehra	Verb	vomit
dihor	Noun	tree.sp
kɨba	Verb	bear,fill
adahrɨm	Noun	snake.sp
aude	Noun	canoe
kamos	Noun	lung
winai	Noun	bird.sp
rovra	Verb	hide
vɨra	Verb	appear,arrive
mutu	Noun	tree.sp
diri	Noun	mountain
vis		grandmother
kov		heart
wur		stomach
nomgur	Adjective	unripe
kinarama	Adverb	morning
ua	Verb	1sg.nfut,1sg
gasa	Noun	tree.sp
Poroi	ProperNoun	Poroi
kɨdɨr	Noun	root
uku	Verb	plant
gapɨra	Adjective	all
kɨm	Interjection	alright
gwada	Adverb	slowly,easily
ibra	Verb	stink
takwei		finish
do	Demonstrative	fd
baude	Noun	tapioc
mɨte	Noun	cough
nisika	Noun	embers
nukum	Noun	charcoal
tum	Noun	stick
eme	Noun	bamboo
wia		leg
ubuhur	Adjective	six
Saina	ProperNoun	China
ai	Noun	rat.sp
nɨtɨ	Noun	heart
toto	Verb	3pl.ds.sim
e	Verb	3sg.nfut,3sg
ima		alone
nis	Postposition	from
kwame	Noun	bird.sp
sakura	Noun	lizard.sp
vavai	Adverb	quickly
ore	Noun	lizard.sp
Sirigam	ProperNoun	Siringam
poru		break
nɨgaya		all?
sures		later
orua	Noun	pumpkin
Arua	ProperNoun	Arua
nɨham		
koiva	Adverb	now
iwam	ProperNoun	Gende.language
kwanar	Adjective	big
veve		coming
gaidua	Noun	k.o.sugar
eke	Verb	3sg.ds
tuki		underneath
takura	Verb	break.up
mohoi	Noun	boy
mito	Noun	rat
Kivi	ProperNoun	Kivi
kida		ear
papas	Noun	crayfish.sp
dɨhɨn	Noun	eel.sp
nuaya	Adjective	ripe,white
Ouran	ProperNoun	Garaligut
gaŋ	Noun	bird.sp
ve	Verb	come
pinis	Adjective	finished
nɨvra	Noun	smell
vov		aunt
kum	Noun	wild.betelnut
tama		eye
sibur		navel
kev	Verb	throw
vɨrɨgai		back
vɨsa		remove
kimkim	Adverb	long.ago
warage	Noun	cane
gobema	Noun	bird.sp
agir	Noun	arrow
gwani	Noun	tree.sp(Gende)
miti	Noun	smoke
vaŋa	Noun	bag
midimis	Adjective	old
kwemar	Noun	saliva
misin	Noun	mission
varevɨsa	Verb	hear
brau	Noun	frog.sp
yawa	Adjective	many
adu	Verb	go.in
Kurubukari	ProperNoun	Kurumbukari
anam	Noun	water
nɨbɨ	Noun	tendon
usa	Noun	cloth
akuru	Noun	sugar
apava		k.o.sibling
akuya	Noun	greens
ku	Verb	1sg.ds
reku	Verb	fetch
ivo	Verb	hit
sɨvɨma	Noun	tree.sp
u	Verb	3sg.obj
nikia	Noun	celebration
imɨre	Noun	path
menɨm	Noun	tongue
pima	Noun	snake.sp
tam		tail
eʔe	Interjection	ah
emedav	Noun	bat.sp
reide	Adverb	daybreak
Gua	ProperNoun	Gua
maiwa	Noun	possum.sp
uar	Verb	1pl.nfut,1pl
kaba		fight
ro	Verb	burn
nimara	Noun	firelight
anou	Noun	sibling.1sg.poss
kwinaku	Noun	bird.sp
taski	Verb	make,arrange
ovɨra	Noun	dog
sar	Noun	snake
aima	Noun	plant.sp
ye	Verb	int
makono	Adjective	male
papai		
sav	Noun	garden
Begesin	ProperNoun	Begasin
takura		appear
vumra	Verb	fly
somuko	Noun	tree.sp
imo	Noun	fish.sp
skur	Noun	school
bua	Adverb	enough
ebin	Noun	flatland
tasororo		push
sime	Noun	string,vine
ma	Particle	neg
ika	Verb	chop
i	Particle	q
ba	Verb	neg.nmlz
esai	Noun	lizard.sp
ani		mother.voc
Vikura	ProperNoun	Fikura
wamai	Noun	bean
uvia	Noun	morning.star
iba	Noun	k.o.yam
barakina	Noun	bird.sp
tavɨŋara	Verb	open
ugai	Noun	sweet.potato
kɨna	Noun	hornbill
nami	Noun	inside
tawaka	Verb	help
keman		last
dain	Verb	walk
Tarva	ProperNoun	Igoi.people
mog		nephew
sarigi		line.up
sanawam	Noun	snake.sp
kopra	Verb	run
mot	Noun	day
kɨtɨ	Adverb	far
numur	Noun	theft
kana		bone
kuana	Verb	2sg.ds
wayake	Noun	fish
karap	Noun	bat.sp
turevu	Verb	join.together
nuo	Noun	seed
ee	Interjection	yes
uana	Verb	2sg.nfut,2sg
kɨda	Noun	chin
yo	Interjection	yes
kakre	Noun	tree.sp
