RED		nmlz
deni	ProperNoun	Danny
vupara	Verb	push
ñɨrama	Verb	hang.up
uzɨmɨŋa	Verb	fasten
takɨnam	Noun	weaving
ayagahu	Noun	tree.sp
samwel	ProperNoun	Samuel
arɨbi	Noun	k.o.yam
ahusa	Noun	betelnut
manat	Interjection	no
bak bak	Noun	wind.house
vidhug	Noun	eel
kwasa trɨ	Noun	water.frog
mar	Verb	2pl.imp
asɨŋas	Noun	bat
tɨmubu	Noun	fly
bubu	Noun	fan
mɨdapara	Verb	erect
maduri	Noun	bird.sp
mubu	Noun	k.o.skirt
ivam	Noun	journey
ñɨ		
aba		all.around?
hus	Noun	sore
hurV	Verb	fill
da	Verb	walk
ɨp	Verb	ctr
yam	Adverb,Adjective	still,new
mɨda	Verb	plant
pasiŋkap	ProperNoun	Pasinkap
akɨnɨk huza	Noun	breadfruit
ŋare		
ahur	Noun	tree.sp
hakayapa	Noun	butt
sɨs	Noun	grass
aŋravata	Verb	flee
vris	Noun	fish.sp
abahɨmu	Verb	perish
viŋa	Noun	platform
mɨŋañɨkɨr	Noun	k.o.pitpit
bazɨv	Noun	tree.sp
kwapa	Noun	side
ia	Interjection	here
ivɨda	Noun	cane
wɨya	Adverb	just
aŋañ	Noun	canoe(Aram)
ŋarva	Verb	break
mɨkug	Noun	cheek
yadama	Verb	mock
ipa	Verb	come.out
haña vad	Noun	tree.sp
mumu	Noun	thing
tɨhirama	Verb	pass
mudihra	Verb	peel
hrahra	Noun	shirt
guvu		
akuruda	Verb	carry.around
busak	Adverb	first
vatɨrama	Verb	spit
ŋañihra	Verb	tear
mapmadavi	ProperNoun	Mapmandavi
dohrat	ProperNoun	Dohrat
takura	Noun	throat,k.o.greens
ze		
askai	ProperNoun	Askai
amɨnak	Pronoun	2sg.poss
araisa	Adjective	yellow
ñɨvi	Noun	young.cross.niece
ayaga	Noun	sago
aria	Interjection	hey
rɨva	Verb	burn,sing
mura	Noun	k.o.greens
bat	Particle	let
mis ramwin	Noun	mushroom.sp
abaŋyapa	Noun	tree.sp
medeŋ	ProperNoun	Madang
mɨgrama		
upmira	Verb	thread
tsk	Interjection	tsk
in	Verb	1sg.ipst,1sg.prs,1sg,1sg.his,1sg.his
sɨ		
amuna		
varva	Verb	bear,birth
mun	Noun	edge
kapai		
gɨbitwar	Noun	bird.sp
humur	Noun	middle
adarɨñ	Adverb	dirty
kubruda		
cɨh	Verb	squeeze
apaga	Noun	chest
isɨha	Verb	serve
urahra	Verb	call.out
hañaba	Noun	hot.water
rɨk	Noun	area.below
birbir	ProperNoun	Bilbil
abiva	Verb	fight
brɨdɨm	Noun	beetle
mida		cousin
vɨkɨn	Noun	wife.3.poss,bird.sp
mɨñu	Noun	seed
ag	Particle	foc
hɨvɨrmɨdi	Noun	bird.sp
hisa	Verb	sew
urum	Noun	man
matarina	ProperNoun	Matarina
pɨ	Noun	house
ñɨ	Verb	stay
mɨkata	Noun	chin
ara	Verb	say
tak	Adverb	only
deñel	ProperNoun	Daniel
mɨkɨr	Noun	adam's apple, pipe,infant
ikɨva	Verb	cook
sava	Noun	hole
miok	Noun	other.people
gave		turn
nadi		daughter
tuki	Noun	rat
had	Noun	right
marakasa	Noun	bird.sp
aguvatɨkare	Verb	stand
pmira		
irɨbe	Verb	be.angry,shoot
sɨb		
ɨ	Interjection	uh
atas	Adverb	enough
misin	Noun	mission
avagara	Verb	yell
mai	Noun	point
vɨhɨr bripar	Noun	bamboo.sp
sɨmuñ	Noun	tree.sp
vinɨk		
winvara	Noun	vein
mat	Noun	what
vuvu anagara	Noun	tree.sp
varmehurmehur	Noun	bird.sp
sɨhun	Postposition	com
mɨr		
kai		
gurama		
haha	Noun	sugar
akirap	Noun	crab
guda	Noun	tree.sp
nad	Verb	2sg.ipst,2sg.prs,2sg,2sg,2sg.his
mad	Determiner	ben
mirɨb	Noun	tree.sp
rɨ	Verb	do
igra	Verb	put.in
mirvab	Noun	tongue
ñanak		son.2.poss
maipagaragara	Noun	bird.sp
azɨmap	Noun	sago.sp
hɨdabra	Noun	road
ipaku	Verb	go.across
don	ProperNoun	Don
mɨt	Noun	ds.sibling,bag
mɨŋatamañɨ	Verb	hear
hɨmñav	Noun	song
tas		
vɨgaña	Noun	pandanus.sp
nagid		be.near
muy	Noun	leftovers
madɨgɨm	ProperNoun	Madɨgɨm
waya	Noun	breadfruit
paka		
agɨrɨgu		
hakɨra	Noun	gap
akam	Noun	vagina
hɨtar	Noun	broom
ivan	Noun	lime
yara		everyone
soheram	ProperNoun	Sogeram
bɨñɨrɨ	Verb	be.ashamed
rai kos	ProperNoun	Rai Coast
kuv	Noun	ear
a		1.poss
apapara	Noun	grasshopper
mavhasa	Noun	wallaby
tabra	Noun	ridge
a	Interjection	ah
mɨgra	Verb	cut
arɨd	Pronoun	1pl.poss
iriña	Verb	lick
amɨhui	Noun	bug.sp
te	Verb	do.what
ikap	Noun	k.o.greens
va		father
ibira	Verb	organize
kñi	Noun	cough
mu	Verb	VERB
iriñc	Noun	k.o.greens
rɨku	Verb	see
mɨga	Verb	come.down
arum	Adjective	big
mɨs	Noun	sweetness
yɨ	Verb	carry
amɨzam	ProperNoun	Amzam
bra		
hiki	Noun	road,custom
ñarɨmbarɣu	ProperNoun	Nyarbarhu
ŋayaguru	Verb	disperse
gravɨha	Verb	fasten
mukunabi	Noun	k.o.basket
mad	Postposition	ben
hɨmra	Noun	mushroom,hat
ai	Interjection	ah
ñɨŋ		grandfather
ñɨŋa		
ni	Determiner	nd
tɨga	Noun	canoe
akamɨga	Verb	come.out
amɨgra	Verb	hit
amɨñ	Adverb	yesterday
rama	Verb	put
vu	Verb	go
rat	Verb	hab,hab.inf
kada	Verb	dance,talk.so
gɨr	Verb	1pl.far,1pl.rpst,1pl.mid
babad		
roda	ProperNoun	Rhoda
mavañagam	Noun	bird.sp
akɨrmɨga	Verb	bind
yaga		
memta		
rukuñe	Verb	look?
zamad	Pronoun	1sg.ben
vibi	Noun	mosquito.net
makɨr	Noun	snake.sp
aragra	Verb	approach?
mak	ProperNoun	Mark
had		
nadi	Noun	woman
apapa ragwi	Noun	mushroom.sp
vɨ		
brisva	Verb	comb
ipaka	Verb	come.across
kriva	Verb	look.for
sarasara	Noun	k.o.basket
avamdi	Noun	grass.sp
asɨgɨs	Noun	k.o.spear
avɨdi	Noun	bird.sp
akakara	Noun	tame.chicken
mɨzɨmɨz haha	Noun	k.o.sugar
akut	Noun	half,bottom
yabara	Noun	shin
migrama		
hucivra	Adjective	long
akebakɨd	Noun	eel
cukai	Noun	ringworm
hinahina	Adjective	crooked
vamkwa		
hɨm	Noun	weight
babrɨsɨŋ	Noun	bird.sp
kwadi	Noun	tree.sp
mɨra	Noun	air
ña	Verb	eat
taki	Noun	signal.drum
vasivasi	Noun	bug.sp
akahrɨs	Noun	tree.sp
añɨŋabi	ProperNoun	Añɨngabi
havya	Noun	bamboo.sp
kuruŋa		older.brother-i.l.
midaŋ		cousin.1.poss
kitiha	Verb	do.what
mip	Noun	plant.sp
ada	Noun	trash
azɨn	Noun	kunai.flower
kad	Postposition	ben
ipravu	Verb	finish
ŋarakɨba	Verb	open
vupre	Verb	cite
yarayara	Verb	everyone
kihaya	Noun	bird.sp
ma	Verb	pst
prama		
ida	Verb	wash.sago,set.up
ragu	Verb	clear?,step.on
ahɨti	Noun	thorny.yam
akɨrsi	Noun	waist
akɨrmɨgu	Verb	force.down
akavaŋku	ProperNoun	Akavanku
vɨhɨr	Noun	bamboo
ne		ss.e.sib.2.poss
adaŋadaŋa	Noun	k.o.basket
ivɨtɨ	Verb	pour
ivɨka	Verb	cut,write
yavara	Noun	bird.sp
huzam		nephew
yayabra	ProperNoun	Yayabra
bikman	Noun	bigman
mapma	Verb	split
ku	Interjection	woof
hit	Noun	chest
mɨrmɨr	Noun	white sap
iŋar	Noun	sun
hitɨr	Adjective	black
agugre		
apahir	Noun	fish.sp
huz	Noun	frame
apmu	Verb	carry
hup	Noun	place
mugwar	Noun	liver
agugru		
mɨŋarama	Verb	get.and.put
vivi	Noun	tree.sp
agɨmzɨ	Verb	lower
aŋarihɨn	ProperNoun	Aŋarihɨn
nagu	Noun	lizard
mahitɨr	Noun	snake.sp
hig	Adjective	black
prɨhara	Verb	flee
sɨrmɨd	Adverb	forbidden
vuhuhaka	Noun	snake.sp
tabɨñ	Noun	k.o.greens
utɨm	Noun	salt
pɨrmɨŋ	Noun	possum
tɨvra	Adjective	first
prigapɨŋap	Noun	snake.sp
tɨmabi	Noun	snake.sp
marɨk	Noun	sorcerer
yigra	Noun	game
saya	Noun	tree.sp
akripu	Verb	wrap
ibra	Verb	be.happy,mischief
kɨd	Postposition	char
abim	Noun	boundary
guña		
nagara	Noun	basket.type?
ragupa	Noun	tree.sp
sitaya	Noun	tree.sp
akubru	Verb	break
añɨga	Verb	dig
ayagɨtɨm	Noun	k.o.basket
batañɨ	Verb	sit.down
mivis	Noun	bird.sp
vɨha	Adjective	ripe
bunpa	Noun	ball
mavra mɨku	Noun	k.o.yam
madɨkɨma	Noun	fish.sp,k.o.pitpit
imɨr	Noun	meat
tasaŋ		brother.1.poss
zamak	Pronoun	1sg.emph
haya	Noun	jaw,shoulder
akune		
akɨru	Verb	carry
agrida	Verb	line.up
ɨtɨha	Verb	ffut
mutimuti	Noun	bug.sp
kwaik	Noun	possum
gɨv	Noun	anger
sɨbra	Noun	?
añɨŋa	Particle	two
vinvin	Noun	bird.sp
ŋamkwa	Verb	dawn,tear
vaca	Particle	one
m	Verb	2sg.imp
mukud	Adjective	other
wigra		
bogia	ProperNoun	Bogia
pra	Noun	canoe(Bakind)
ñiŋi	Adjective,Noun	child,little
mɨka	Adjective	male
ñanɨk		son.3.poss
mɨgada	Noun	bowstring
pɨhivra	Noun	bird.sp
rɨdɨm	Noun	root
avɨgur	Noun	bird.sp
avravɨr vɨgaña	Noun	pandanus.sp
avapma	Verb	chop,abound
bɨd		
atɨhu	Verb	wind.up
suari	Noun	bamboo.sp
d	Verb	?
twaya	Noun	white,bird.sp
tɨvɨgɨv	Noun	dusk
gavsɨŋ	Noun	bird.sp
vɨkre	Verb	open
yabrahad	Adjective	near
akuruvu	Verb	take.away
itu	Determiner	fd
akan	Particle	alright
vañihra	Verb	split
ŋatɨ	Verb	?
pubu		completely
mɨŋa	Verb	get
