ijɨrarɨñ	Noun	fish.sp
pɨ	Verb	do,write,tie
aso	Noun	tree.sp
u	Verb	2sg.imp
taŋ		over.there
uzamɨ	Verb	take.out
kukwamd	Noun	snake.sp
ainaj		niece.1/2.poss
sad	Postposition	com
akɨp	Noun	border
pɨyam	Noun	turtle
amatɨr	Noun	collarbone
uhwan	Adjective	all
kwapɨ	Verb	touch
amɨnasan	Noun	bird.sp
itɨ	Noun	spirit
iragam asɨhɨd	Noun	owl.sp
Akreski	ProperNoun	Akreski
adɨhur	Pronoun	2pl.obj
itavɨh	Noun	bamboo.sp
apɨr	Noun	fire,stick
zamɨn	Noun	loincloth
taroprau	Noun	taro.sp
jɨ	Particle	can
uhran		many
inɨŋ	Adverb	quickly
iriñ	Noun	crying
iwañ hɨz	Noun	vine.sp
Asmisin	ProperNoun	Asmisin
u	Particle	?
d	Verb	3sg,3.ipst,3
akur	Pronoun	2pl.poss
agem krad	Noun	snake.sp
jɨd	Verb	stay
n	Verb	2sg.ds
vis	Noun	ground
kwamɨn	Noun	door
ikwakɨm	Noun	neck
zɨram	Noun	dream
panpɨhɨd	Noun	wallaby
mere		adjz.emph
Kletus	ProperNoun	Cletus
kamkwai	Noun	below
atad	Postposition,Adverb	with,together
vivi		pain
arom	Adjective	good
pra	Noun	fence
urak		hunt
tukwab	Noun	door
mapɨh	Noun	back
koko	Noun	cocoa
fih	Noun	small
gwar	Verb	sound
Gwava Kem	ProperNoun	Guava Camp
Mabai	ProperNoun	Mambai
camɨn	Noun	ear
iran		younger.sib.3.poss
idaŋ kuram	Noun	bamboo.sp
ke	Interjection	get.out
ikwi	Verb	give
kɨzahwra	Verb	chase
pɨc		grandmother,grandchild
a		1/2.poss
uze	Interjection	uh
utɨmar	Adjective	two
itam	Noun	bug,grasshopper
ñɨsoz	Noun	boy
vrahɨ	Verb	fly
misenare	Noun	missionary
vɨŋ	Noun	bird.sp
e	Verb	pl
mɨŋai	Adjective	female
atar	Noun	tooth
pɨdom	Noun	k.o.shrub,fish.sp
uzemɨ	Verb	dig
ata	Noun	group
iham	Noun	dog
