kiaŋgu	Noun	beach
kali	Adjective	female
ima	Noun	louse
hani	Noun	base
ŋa	Adjective	big
yagi	Verb	hear
pa	Noun	food
muŋgesu		
mondoŋ	Adverb	later
sili	Noun	back
blublu	Adjective	cold
ai	Adjective	old
tubna	Noun	fence
kiñaŋ	Adjective	dry
magi	Noun	finger,arrow,fruit
kubelin	Adverb	day.after.tomorrow
andigam	Adverb	morning
ula	Verb	fall
ke	Noun	betelnut
tagi	Noun	chicken
dili	Noun	tail
kidekide	Adjective	how.many
puloŋ	Adjective	white
bumbu	Noun	bamboo
mu	Verb	1pl.fut
waiŋgam	Noun	crocodile
yobrom		two
hi	Verb	burn
pei	Verb	go
hubu	Verb	blow
gere	Verb	make
damu	Noun	meat
jau	Noun	thigh
pu	Verb	get
kumi	Adjective	dry
ŋsan	Verb	2/3pl.fut
awo	Noun	breast
hambli	Noun	smoke
kaga	Noun	blood
yadi	Noun	bow
pono	Noun	piece.of.wood
amu	Noun	eye
bigo	Noun	betel.pepper
ŋge	Pronoun	2pl
sibi	Noun	guts
ami	Adjective	female
di	Pronoun	1sg
mesi	Noun	pandanus
plogi	Noun	sap
kuloŋgi	Noun	path
meegu	Noun	chin
mindidigi	Noun	nape
mandagi	Noun	trunk
pili	Pronoun	what
miŋgi		lastborn
gamsi	Adverb	midnight
muŋgali	Noun	yam
jaga	Verb	chew
padmi	Noun	cassowary
ñala	Noun	snake
yaglu	Noun	neck
yaure	Noun	wallaby
geje	Adjective	dirty
yogbo	Noun	bandicoot
mal	Noun	loincloth
hani	Noun	shadow
mili	Noun	belly
e		irr?
ŋudu	Noun	bone
tuŋgoli	Noun	bowshaft
goi	Noun	fat
bayaŋa		many
yidi	Noun	heart
nogro	Pronoun	3du
pigu	Noun	chin
solowegi	Adjective	good
ige	Pronoun	1pl
male	Verb	vomit
sa	Noun	speech
tu	Verb	set.fire
breg	Verb	tear
inuk	Adverb	there
dugu	Noun	cough
ya	Verb	eat
bano	Noun	spear
minjigegi	Adjective	small
kudo	Adverb	where
kage	Noun	frog
sasi	Noun	egg
añe	Noun	dog
habna	Noun	ear
ndu	Verb	1sg.fpst?
koŋgruŋ	Verb	jump.off
ugu	Noun	hand.drum
gigi	Noun	deltoid
gasirag	Verb	carry.piggy.back
ŋsunu	Verb	1pl.fut
hamal	Adverb	here
uŋgalu	Noun	fly
mblu	Verb	3sg.prs
kilele	Adverb	long.ago
yambu	Noun	sugar
sablo	Noun	urine
punu	Verb	give
kumaagi	Noun	butt
ndano	Noun	bat
mugo		elder
buga	Noun	smoke
ŋgomu	Noun	top
yuwal	Noun	sea
tama	Noun	forest
daŋgo	Noun	croton
siŋi	Noun	navel
l	Noun	loc?
ka	Verb	come
ma	Verb	1sg.prs,2/3pl.fut
duŋgunu	Noun	elbow
sina	Verb	sleep
kalil		all
ki	Noun	water
rigi	Verb	pull
