tapa	Noun	wall
nɨrɨŋ	Pronoun	3pl.poss
kumgumd	Verb	be.sick
vah		sister.i.l
uhra	Verb	2pl.irr
tɨŋa	Noun	snake.sp,tree.sp
ubuvesves	Noun	bird.sp
Sugwari	ProperNoun	Sugwari
mɨgatagurama	Verb	come.down.and.stand?
iham	Noun	red,parrot.sp
pavah	Noun	shoulder
mɨŋami	Verb	leave
havɨ	Verb	think?
biri	Noun	eyebrow
aru	Pronoun	1pl.obj
duai	Noun	fifthborn
sɨbɨhat	Noun	bird.sp
ñam	Noun	yam
Kɨbɨna	ProperNoun	Kumbuna
Amaimon	ProperNoun	Amaimon
kai	Verb	draw.water
siva	Noun	rat
kɨñaku	Noun	bird.sp
tisa	Noun	teacher
igɨn	Noun	possum.sp
wema		nephew.1.poss
imusa	Noun	shaft
Fode	ProperNoun	Thursday
ñabɨña	Noun	girl
kaprɨ	Noun	grasshopper
waya	Interjection	oops
orait	Interjection	alright
sɨzɨ	Noun	tree.sp
nadas	Noun	third.to.lastborn
paŋara	Verb	follow
kɨmama	Verb	sleep
tada	Noun	leg,log
añir	Adverb	two.days.away
kusu	Noun	food
gunari	Noun	bird.sp
mi	Noun	thought
o	Interjection	oh
musuh		one?
i		generic
kuduna	Noun	snake.sp
vana	Verb	desid
uvia	Noun	morning.star
adi	Verb	irr
uba	Noun	relative,heart
kuga		yellow
audida		uncle.1.poss
puz	Noun	bone?
gayamyam	Verb	examine
savɨha	Noun	tree.sp
Buhati	ProperNoun	Bugati
nɨ	Demonstrative	nd
kwima	Noun	coconut
ñaŋam	Noun	tree.sp
kwiv	Noun	bird.sp
pɨgrɨ	Noun	custom
kuvri	Verb	lift
karasa	Noun	old.woman
saŋam		aunt
u	Postposition	acc,but?
izi	Verb	scrape
kɨzɨ	Adjective	black
sur		brother.i.l
sɨda	Demonstrative	temp
pubuya	Noun	tree.sp
akaya	Noun	tree.sp
muŋ		husband
kuvaya	Noun	bamboo.sp
kumu	Verb	die
mamre	Noun	toad
na	Particle	and
kura	Noun	man
asɨkasɨk	Adjective	hot
mɨŋasɨisɨiri	Verb	scratch
sarawara	Verb	heal
mɨka	Noun	tooth
yabi	Adverb	now
ige	Noun	tree.sp
hura		?
akware	Noun	bird.sp
Tuguribi	ProperNoun	Tuguribi
krɨbɨ	Noun	top,growth
ivuhu	Verb	crack
mahara	Verb	shine
igra	Verb	split
sia	Noun	k.o.arrow
asɨkɨsav	Noun	bird.sp
zavru	Noun	snot
kidikidi	Noun	firefly
kuñam	Noun	cockatoo
hɨba		friend
aba	Verb	talk
nuhu	Pronoun	3sg.obj
kimagaya	Noun	firstborn
wivara	Verb	blow
kamura	Noun	mustard
kurupahaya	Noun	bird.sp
Keli	ProperNoun	Kelly
ŋ	Postposition	poss
ane	Noun	sago
kise	Noun	boil
tubru	Noun	flea
kusu	Verb	roast
pugur	Noun	cockroach
sɨŋam		aunt
abrɨ	Noun	bamboo.sp
pat	Noun	thigh,trunk,center
saba	Noun	pig
uri		below?,outside
ña		pl
pɨsɨvɨs	Adverb	afternoon
yabrɨ	Noun	worm
i	Verb	hit,distribute
unaya	Noun	bandicoot
vaha		when?
mubu	Noun	fly
tin	Noun	tin
Madaŋ	ProperNoun	Madang
agwa	Verb	yell
sɨba		long
timu	Noun	side
a	Interjection	yes,ah
muya krugru	Noun	betelnut.sp
sagrɨ	Noun	noise
imari	Adverb	now
drɨk	Noun	bird.sp
pausav	Adverb	around?
tei	Verb	go.up,go.in
imru	Verb	gather,wake
namug		nephew.2.poss
kam	Verb	sleep
uyah	Noun	k.o.pandanus
gamur	Noun	palm.sp
bahuri	Noun	tapioc
kran	Noun	tree.sp
uva	Adjective	spec
kwasia	Noun	tree.sp
puyivi	Noun	lung
ivɨ	Noun	grass.sp
au	Noun	fire,wood
tama	Verb	put
sɨiv	Noun	bird.sp
muhu	Adjective	empty
puhra	Verb	fly,scatter
igrɨva	Verb	be.angry
Jizas	ProperNoun	Jesus
kɨzɨŋa	Noun	ear
mɨriñi	Noun	vein
saraku	Noun	work
kuvar	Noun	flood.plain
ibra	Verb	pull
pi	Verb	come.ss
kaŋata	Noun	bird.sp
ɨ	Interjection	uh
awe		aunt
kɨhrire	Adjective	some
yamda		mother.1.poss
ña	Noun	child
nara	Pronoun	2pl
pu		marked?
rama	Verb	put
tevɨ	Verb	chase,evict
aya	Verb	come.2sg.irr,come
tudiv	Noun	swing
yavi	Verb	appear
kibra	Verb	run
kuvrara	Verb	jump
sisi	Verb	begin
aga		?
stretim		fix
sɨkra	Verb	break
Don	ProperNoun	Don
tubrah	Verb	tie
kɨsav	Adjective	taboo
krɨs	Noun	digit,fruit,seed,piece
sɨrav sanagu	Noun	snake.sp
komkom	Noun	k.o.taro
ivɨtubu	Adverb	well
miminugus	Noun	earthquake
sɨmsɨm	Noun	bat.sp
mɨgra	Verb	cut
Bramen	ProperNoun	Brahman
paga	Noun	leaf
tavrɨ	Verb	call
mɨgravara	Verb	cut.pl.obj
paŋasiki	Noun	bag
tautau	Noun	bug.sp
rava	Verb	hab
hus		son
zum	Verb	feel
ñɨŋa	Noun	grass.sp
avrara	Verb	swell.up
hausik	Noun	hospital
Irigi	ProperNoun	Iringi
mɨraña	Noun	tree.sp
siar	Noun	bird.sp
a		1.poss
pahar	Adjective	young
kavɨnam	Noun	tinea
vara	Verb	pl.obj
Kavita	ProperNoun	Kavita
yavi	Verb	come.up
sihaha	Noun	spider
tubrama	Verb	tie
kahavara	Verb	follow
ida	Noun	palm.sp
yavam	Noun	secondborn
ɨm	Verb	3sg.ypst,3.ypst
muhru	Verb	wash
i	Particle	voc
kwagra	Verb	cook
rada	Postposition	com
kuya	Noun	reed.sp
ivuruha	Verb	cure
kabim	Noun	bug.sp
ñuku	Noun	point
tɨkrɨkɨ	Noun	pieces
tukaha	Verb	wrap
unar	Noun	fence
tamar	Noun	drum
ihum	Verb	kill
pañadɨ	Verb	be.dry
irɨha	Verb	cry
av		rest
pɨgɨ	Noun	buttress
kitɨr	Noun	charcoal
muv		brother
nawad		daughter
kavɨr	Noun	loincloth
ma	Verb	ypst
sida		last?
wara	Noun	house
o	Particle	or
ama	Noun	breast
tɨdɨ	Noun	bottom
tɨva	Verb	go.upriver
kakya	Noun	blood
