qoro	Verb	shoot?
woqli	Noun	activity?
ar	Noun	tree.sp
daqni		
ai	Adjective	old
saga	Noun	greens
elbi	Verb	3sg.fpst
mam		hungry
roŋ		wrong
bubuŋ	Adverb	there?
gamba	Noun	shell,plate
te	Verb	do?,caus
de	Verb	appear,be.high
Papayom	ProperNoun	Papayom
slaŋ	Noun	stick
keŋdandir	Noun	kookaburra
sabrud	Noun	butterfly
nde	Particle	dem
tumbrum	Noun	fog
poket	Noun	pocket
yagai	Noun	lagoon
kubuqo	Verb	swell
andoga	Pronoun	3pl.agt
jigli	Noun	cucumber
kem	Verb	2sg/1.hod.ss
kaqam	Noun	moon
ibom	Noun	fence
Rasik	ProperNoun	Rasik
ulo		hide
gabman	Noun	government
mun	Verb	1pl.rem.ss
damuy	Noun	ear
bjle	Adjective	soft?
matu	Adjective	firstborn?
masalai	Noun	spirit
Qalom	ProperNoun	Qalom
kuyo	Particle	maybe
peser	Adverb	quickly
ken	Verb	3sg.hod
nambul	Particle	pl
aqedu		finished?
sit	Noun	seat
makim		mark
taqal	Verb	hit
wal	Noun	breast
Maklei	ProperNoun	Maclay
leta	Adverb	here
nmbr	Verb	see.2sg.obj
yesem	Adverb	d.a.tomorrow
aita	Verb	?
Awoŋ	ProperNoun	Awong
jub	Noun	hole
bom	Noun	fence
oboq		open
imbar	Noun	bamboo,pipe
atwok	Noun	hard.work
rawaŋ	Noun	parent.i.l
koq	Verb	3sg.ss
ŋam	Noun	tree
bjroq	Verb	remove?,come.loose
punjuq		kiss
qureb		all
subyi	Verb	be.?
ŋam taŋgi	Noun	clan
aro	Pronoun	3sg
mlal		good
dan		sit.sg
moko	Noun	cover
saŋgati	Noun	rafter
Sausi	ProperNoun	Sausi
gobe	Noun	k.o.food?
marsin	Noun	medecine
gago	Pronoun	1pl.poss
qa		loc,ins
barum	Noun	signal.drum
uriq		hit?
si	Noun	bracelet?
ura	Adjective	dry
taqlgi	Noun	rib
mui	Noun	hair,leaf
quwiŋ		swim
woi		run
qen	Noun	mosquito
dab	Noun	ear
aklok	Adjective	o'clock
qoqo	Verb	look.pl
aq	Verb	1sg.ctrf?
yi	Interjection	oh
tabu	Noun	gun
mumu	Noun	stone.oven
wanawa	Adverb	one.hour
distrik	Noun	district
mb	Verb	2sg.obj
mm	Interjection	huh
Sigma	ProperNoun	Sigma
Mai	ProperNoun	Mai
smug	Noun	web
qo		look
pala	Adverb	today
pin	Noun	food,thing
ŋai	Noun	aunt
ŋwaŋ	Noun	brush.turkey
e	Particle	q
yaulqo	Adjective	yellow
asi	Verb	3sg.fut
yuwal	Noun	sea
tos	Noun	flashlight
sautim	Verb	buy.for
pulu		return
boge		trick
kri	Particle	compl?,be.quiet?
pipin	Noun	things
sol	Verb	carry
kona	Noun	corner
baqlu	Noun	platform
kuben	Noun	fishing.net
Jilim	ProperNoun	Jilim
absi	Verb	eat.2pl/3pl.fut
sol	Noun	salt
belo	Noun	noon
maski	Interjection	nevermind
be	Verb	2pl/3pl.ipfv
bsnem	Noun	part
sekim		check
Mlelqa	ProperNoun	Mlelqa
tam	Interjection	wait
g	Verb	1pl.obj
kwen	Noun	left.hand
kuqli		murky
añaqli	Noun	mother
alibi	Adverb	d.b.yesterday
kreq	Verb	scrape
ailan	Noun	island
bruk		disperse
sambi	Noun	yam
saŋ	Noun	dog,police
wen	Verb	see
onim		turn.on
tumbu	Noun	mountain
qabu	Adjective	true
user	Verb	show
lit	Verb	travel
mali	Adjective	ripe
kel	Verb,Noun	what,do.what?
Jam	ProperNoun	Jam
Ileg	ProperNoun	Ileg
mondoŋ	Adverb	later
pat	Verb	land
kraro	Noun	tree.sp
Nelson	ProperNoun	Nelson
mnmen	Noun	earthquake
jaq	Verb	take.pl
yasa	Noun	cane
dqnei	Noun	branch
qoŋgol	Verb	remove?
uqa	Verb	desid?
sslo	Noun	worry
totor		join
walaqli	Adjective	long
gredwan	Noun	first.grade
let		
subat	Verb	bury
kum	Verb	chop
ulig		sharp
une	Noun	problem
moin	Noun	tongue
yuri	Adverb	Sunday
ayiq	Verb	not.want
meme	Noun	goat
kampani	Noun	company
ubsi	Verb	2pl/3pl.fut
boi	Noun	boy
lagab	Noun	raincloud
sŋgreŋ	Noun	twig
yoŋen	Noun	footprint
qlai	Adjective	big
gal	Particle	neg
temen		
tf	Interjection	speech.error
gama	Pronoun	1pl.agt
dal		wrap
qneŋ	Adverb,Adjective	small,slightly
Mak	ProperNoun	Mark
seben	Noun	skirt
qumbla		
Kimbe	ProperNoun	Kimbe
niŋ	Pronoun	2sg.poss?
atiŋ	Adverb	maybe
tarum	Noun	source?
gusa tal	Noun	morgue
paul		mess.up
ati	Verb	put.in?
[...]		dur?
a	Verb	?
qawi	Noun	lime
igen	Verb	3sg>3sg?
jagi	Particle,Adjective	emph,different
qamun	Verb	come.1pl.rem.ss
Sisi	ProperNoun	Sisi
gteŋ	Noun	rat
belaq	Noun	fire,roast
doqomnak	Noun	nape
tar		top
um	Verb	2sg/3sg.ctrf?
dabu	Noun	edge
hahaha	Interjection	haha
Qaulibi	ProperNoun	Qaulibi
simbaŋ	Noun	taro.sp
ubye	Verb	?
qurat	Verb	compl
naintineiti	Noun	1980
qoqole		four
be	Particle	spec
gureŋ	Noun	flower
kriŋ	Noun	frog
oq		?
ñoblo	Noun	blessing
Kaliwa	ProperNoun	Kaliwa
krit	Verb	compl
Gamar	ProperNoun	Gamar
hã	Interjection	oof
stop		stop
pagli	Noun	parents
man	Noun	nose
gout	Noun	goat
qolo		be.dark?
poi	Verb	break
bjruq		
abrus	Noun	melon
jenjeŋ		embrace
daŋgal	Noun	stick
yagl	Verb	bathe
kukulbe	Noun	behavior
keŋ	Noun	sun
luluwai	Noun	luluai
damug	Noun	meat
draiva	Noun	driver
poloq		leave
Goroka	ProperNoun	Goroka
o	Interjection	oh
gl	Verb	go
ami	Noun	smoke
qau	Noun	betelnut
gigir	Verb	bury
yaqa	Pronoun	1du
Malfun	ProperNoun	Malfun
bsqaq		slip
baŋ		fall
koŋiri	Noun	neckbone
piksa	Noun	picture
qobob	Noun	mud
wai	Verb	look.for
suga	Noun	sugar
qaboq	Adjective	full
Kunum	ProperNoun	Kunum
paip	Noun	pipe
kekle	Noun	basket
tutu		above
ñqr	Verb	sharpen
sasa	Noun	ghostliness
wunqo		dream
faifaklok	Adverb	five.oclock
lodim	Verb	load
qaqai	Adverb	slow
qame	Verb	come.2sg.ipfv
nosqo	Pronoun	2du.poss
ye	Verb	3sg.rem.ss
gunguni		how.many
tut	Verb	bump?
kibi	Verb	2pl/3.ypst
eria	Noun	area
wag	Verb	put.in,wear
alam	Noun	yam.sp
doŋom	Noun	name
klen		select
grup	Noun	group
tri	Adjective	three
maŋ	Noun	uncut.garden
sirin	Noun	cane.sp
wi	Noun	ashes
raqum	Noun	car,crab
bed	Noun	axe
tutur		not.know
aria	Interjection	okay
boqol	Verb	dig
