yubam	Noun	shadow
didi	Verb	pull
tamba	Verb	plant
gula	Noun	lime
he	Noun	fire
tamo	Noun	man
ibi	Noun	sugar
no	Pronoun	3sg
tabor	Noun	axe
boʔom	Noun	smoke
wem	Noun	leaf
ta	Verb	get
ala	Verb	come
muŋgul	Noun	banana
wai	Verb,Noun	garden,work
emale	Verb	call.out
in	Verb	1sg.prs,3sg.fut
uyer	Adverb	yesterday
tiŋ	Verb	stand
ʔa	Verb	aux
buo	Noun	pig
amba	Verb	go.?
eg	Verb	2sg.fut
wal	Noun	ocean
gunaŋgere	Noun	star
ndara	Noun	blood
ʔa	Noun	betelnut
Don	ProperNoun	Don
hilwol	Noun	sand
ŋela	Noun	snake
ʔahar	Verb	look.for
ndama	Noun	stone
kanjilim	Noun	drum
ŋali	Verb	vomit
yaŋgem	Noun	rain
muñeŋ	Noun	tongue
geimaye		big
bome	Noun	sago
waʔar	Noun	chicken
kumbo	Noun	spine
yamel	Noun	cloth
gati	Noun	louse
ŋam	Noun	eye
nai	Noun	skirt
ul	Noun	food
umaʔalum	Noun	fly
hinagom	Noun	woman
kinaniŋ		small
njelam	Noun	skin
tuom	Noun	fish
jei	Noun	finger
buʔuŋ	Verb	run
poro	Noun	speech
yem	Pronoun	1sg
bugu	Noun	mountain
id	Verb	3pl.agr
am	Noun	mother
did	Verb	1sg.agr,2sg.agr
ndam	Noun	navel
aŋgum	Noun	middle
ñise	Noun	sweat
wanjel		morning
kor	Noun	neck
sihala	Verb	put
wau	Noun	old.person
mbe	Noun	tree
mal	Noun	loincloth
yanem	Noun	bird
jilal	Noun	saliva
uleŋ	Noun	sun
ndulum	Noun	tail
abu	Noun	father
kiem	Noun	bamboo
ane	Adverb	where
ad	Verb	3sg.agr
ʔaʔañe	Noun	dog
ʔo	Noun	yam.sp
ahai	Noun	leg
ahau	Verb	2pl.fut
ulami		what
emsi	Verb	hear
ñe	Verb	eat
saʔaumbet	Noun	rat
wheip	Verb	jump
wasil	Noun	shrub
ñeʔeseim	Noun	mosquito
sier	Verb	dig
soul	Verb	cry
uya	Noun	fat
yasol		afternoon
sila	Verb	go
ʔome	Verb	die
gwei	Noun	possum
ʔaha	Verb	cut
biraŋ	Noun	yam
some		?
bija	Verb	push
di	Verb	1sg.agr,2sg.agr?
tawo	Noun	coconut
mai	Verb	sit
aul	Noun	breast
gasi	Noun	base
imuŋ	Verb	1/3pl.fut
mamoŋ	Noun	chest
ni	Pronoun	2sg
galu	Noun	wing
ñem	Noun	name
aliem	Adjective	good
him	Noun	nose
bugu		?
whi	Noun	betel.pepper
reʔe	Noun	forest
gimar	Noun	signal.drum
sayam	Noun	plate
huye	Verb	cook
maimai	Noun	butterfly
moŋger	Noun	bow
huŋgulaŋgum	Noun	stomach
subal	Noun	wallaby
alintaʔau	Noun	shoulder
towe	Verb	give
ira	Noun	possum
ambin	Verb	1pl.agr
ʔwasa	Verb	tie
tande	Noun	slope
sisil	Noun	urine
tane	Pronoun	2pl
tamne	Noun	path
amna	Noun	frog
paru	Verb	throw
whai	Noun	crocodile
ʔalo	Noun	taro
sene	Pronoun	1pl
yi	Noun	water
mulim	Noun	root
ʔahalu		night
aŋar	Noun	cane
ba	Verb	ss?
wow	Verb	burn
gou	Noun	butt
wati	Noun	sore
ase	Verb	tell
kamanje	Noun	cassowary
ŋali	Noun	head
simbi	Noun	poop
sale	Noun	ground
ambelem	Adverb	tomorrow
manembet	Noun	flying.fox
horhor	Noun	liver
dor	Verb	hold
hali	Noun	bag
hulum	Noun	village
giʔi	Noun	armpit
karak	Noun	wind
jibeŋ	Noun	grass.sp
ahalam	Noun	ear
saŋgal	Noun	back
saʔaim	Noun	moon
imi	Pronoun	who
tomel	Noun	mouth
mamñe	Noun	child
wale	Noun	bowstring
njuʔual	Noun	sap
bamediŋ	Verb	2pl.agr
baji	Noun	house
budol	Noun	fence
kele	Verb	look
mina	Verb	stay
njei	Noun	hand
uroŋ	Noun	pot
silim	Noun	bone,egg,seed
ole	Verb	hit
gwor	Noun	joint
kiñe	Verb	sleep
jubum	Noun	meat
maʔaisilim	Noun	tooth
nane	Pronoun	3pl
boʔale	Adjective	bad
we	Verb	aux
elam	Noun	hair
taʔa	Verb	walk
ineŋ		?
