Siso 5	naia harawohe khapua khaiwa nemo	mitupla ino stap wantaim tasol
Siso 10	roka wimu no yomu makema ima umo khaining ikhu khaia	yu save go daun na kam antap ya em mi tu olsem
Siso 17	B:honenera ekhamu yomu khaimu kha mbangiri imu kha umo ngu apepere amu khaiwa ninge	em kam daun streit na strong na nogat wanpla diwai pasim em ya
Siso 45	B:na hokamama khaingu ima umo hokakhu khaining imakera	yu save mekim ya em mi tu save mekim olsem
Siso 58	B:akeneito khaingu nge ngu khuha hai imu khaining ine	displa tingting blo yumi ya em yumi olgeta em save kamap olsem na
Siso 63	B:o ngu imisi khaingu nge ngu hipuna hai imu khaining imare	o em displa pasin ya em yumi save kamapim olsem
Siso 68	B:imisi khaingu nge ngu naya khuha hokakhu khaining marou	displa pasin ya em mitupla olgeta save mekim olsem
Siso 85	wemakipu khaingu nge ngu	ol save go ya em
Siso 87	naita ngu khokhore imakipu mukhimu khai	ating yumi save makim em
Siso 117	B:mburiri ninge ngu hipu khaining imaipu	siso ya em mipla save mekim olsem
WP2 2	yomu kanapa khaine kha	em kam stap lo gaden na
WP2 14	(ahem>0) emu yomu (basket>hokho) ahe nge ngu harawohe maha ekhamukhai	em putim i go insait long displa basket na wanpla pundaun lo graun
WP2 15	harawohe maha ekhamu khaine emu (wasim emu>sono khukamu) 	wanpla pundaun lo graun na em kisim na wasim
WP2 22	emu yomu arayamu kanapa khaingu arayamu	em i kisim i kam raun lo displa gaden
WP2 73	hamunge kanapa mbae ngu ekhamu yore mokepe wemukhaimukha	papa blong gaden ya em go antap pinis long diwai na em kam daun
WP2 76	harawohe wenekhai	wanpla go pinis
WP2 77	wenekhaine	em go pinis
Man3 5	khonoromu yopina khai ni	ol tumbuna ,tumbuna  na tumbuna ol bin kam
Man3 10	awohe nembake ephakhu khawapa	mi no save gut tumas
Man3 29	hita hamiha khaingu para yopu ni ngu imisi khaingukha pitengu imu khai	mipla kam lo displa clen em displa pasin em bikpla
Man3 53	pe kopina khai	ol bin tok nogat 
Man3 64	ngepu khawapu	mipla ino bin lukim tu
Man3 65	hita kopohe pai khaipu khaino	mipla ol nupla mangi nau mipla stap
Man3 68	noka imisi maya hokapina khaiwa	ol ino mekim gutpla pasin
Man3 74	 tf hinakipi su sa ipina khaiwa	ol ino bin lukautim ol gut
Man3 75	hamunge nokapi ukipi imakepi khaingu ake hamunge ni nge ngu itae khurae khurae khaipi	ol save kilim ol man na kukim na kaikai olsem na ol man em ol istap wan wan 
Man3 82	yopi nama api misin ngu yopi Susuha oita nama apina khai	ol kam stap na ol misin kam stap tambolo lo Susuha
Man3 88	hamunge arae yamu ikimu yone khai ni nge 	man bin raun na kisim ol ikam em
Man3 101	ikimu yone khai	em kisim ol ikam
Man3 110	ke khaingu nama api khaipi nge ngu weimu ekimu yone khai	ol stap lo displa displa hap em, em kisim ol ikam
Man3 121	epi ngepi ambukhu ipina khai	ol kisim na lukim na ol bin hamamas
Man3 140	noka khahu mohi ipina khai	ol bin pas wantaim ol 
Man3 141	gavaman pekhe yone khai	gavaman bin kam pas
Man3 150	yoni kopina kha yopina khai	ol tok yupla kam, na ol bin kam 
Man3 155	ara kua no khaipi nge ngu yopi khanuku nama api ,nge khanuku nama api nge Susuha oita nama api kha misin koko nama apina khai	mipla stap lo bus em sampla kam stap lo hia na sampla kam stap lo Susuha,ol stap wantaim ol misin
Man3 158	an anani yopina khai ni	ol bin kam lo pait
Man3 159	an nani yopina khai ni ngu yopi kha balus ni nge mokepe yaka ni  nge ngu	pait bin kam ya em ol bin kam na balus antap lo speis em
Man3 193	khaning khaning ipina khai Japan	ol Japan bin  mekim olsem olsem
Man3 208	weipi kha opopo naurepi yopina khai	ol go na karim ol samting ikam
Man3 232	ipeito Nungui ni hamunge nokamaipu ngu wemu khaingu kiku ambukhu amu khai	nem Nungui mipla save kilim man em kam stop lo displa taim
Man3 235	imatao skul pite ahe wepa khaiwa	mi yet mi no bin go lo wanola bikpla skul
Man3 238	tok pisin skul ngu wepa khai	mi bin go lo skul blo tok pisin
Man3 242	ngu moko englis komaipi ima skul khaingu ahe wepa khaiwa	em ol save tok englis ya mi no bin skul lo en
Man3 248	wo hokaepi kokhu ngekhu khaiya ni nge ngu noka umo ima akayapi yopi	mi ting olsem ol bai  wok tasol ol tu bihainim mi kam
Man3 252	kaya hamunge nokakhu ipa khai nake	bifo mi kilim ol man na kaikai olsem na
Man3 256	kokhu norokakhu khaiya	mi tingim olsem na stap
Nau 32	A: ima nge mbuma akarara oini yomu khai ngu ngeka wekera hi kokhu kha	A: mi tok mi laik go lukim wait man kam stap tamblo
Nau 57	B: ekhono yomu khaima khaino ni ngu	B: nau yu kam ya em
Nau 67	B: ngekhu khawapa pe	B: mi no save
Nau 89	A: wora nge dapono khaingu khaingu akaiku kanapa weka'pe'pina khai	A: mi go ya , ol displa lain ya go pinis lo gaden
Nau 91	A: wepina khaine kha	A: ol go pinis na
Nau 136	A: ima pahe arakua wekaku isikhu khaiya nake wekaku yora	A: mi slip lo haus bus lo hap olsem na mi go lo hap
Nau 138	A: pahe yaka isikhu khawapa	A: mi no slip antap lo haus
Nau 140	B: menae pahe haiya weni isimu khaima kokhu ngae	B: mi ting olsem yu slip lo haus lo ples olsem na
Nau 143	A: ara kua weka isikhu khaiya	A: mi slip lo bus lo hap
Kaikai2 6	ai araiku lapun ikhu khaiya henge	ai mi lapun pinis
Kaikai2 8	araiku lapun ikhu khaiya	mi lapun pinis
Kaikai2 9	pare ekhu khaiya khaino nge	yu lukim mi , mi go daun  pinis 
Kaikai2 32	khaino ngu sapuru epora komaipi khaino	displa em aibika, ol save kolim epora
Guria2 7	yopu khaingu námapu nge ngu	mipla kam sindaun long displa hap
Guria2 13	uruningu námapu khaipu nge orapenoka ukhu	mipla sindaun lo displa hap na skin blo mipla hot
Guria2 18	hita hamung pit pite khaingu nge ikipi yopi nenge Mamia khaino apinakhai	ol kisim ol bikman blong mipla kam lusim lo Mamia
Guria2 19	ekhono nge ngu khanuku keku námapukhaipu	nau mipla kam sindaun lo hia i stap
Guria2 22	uphue pite khaingu epu yopunakhai ninge	taim mipla kisim displa bikpla hevi na kam
Guria2 26	nenge pai khaino keku námapukhaipu	mipla sindaun lo nupla ples
ObjP5 16	khanongimukhai?	em olsem?
ObjP5 42	khanongimukhai?	em olsem?
ObjP5 54	khaingu awohe mayimukhaiwa	em i no orait tumas
ObjP5 65	omana emukhaima khaingu para himana wa	han yu holim nau, putim long en
MejikDiwai 6	Homokhu Angomo keku námapina khai	ol sindaun lo Homokhu Valley
MejikDiwai 8	námapi khaipi kha	ol stap na
MejikDiwai 13	ngemu khai	em lukim stap
MejikDiwai 25	isimu khaine wemu waipu moko makere	em slip stap i go na kakaruk singaut
MejikDiwai 52	sáhipina khai	ol stretim (ol samting)
MejikDiwai 75	ngu, haringuni yakomu kone khai	em tok, (olgeta hap) bai tudak
MejikDiwai 79	apina kha haringuni yane khai	ol kilim em na tudak
MejikDiwai 81	opitepi ukipi khaipi ni	kaikai ol kukim i stap
MejikDiwai 98	hamame ángane khai, haringuni péwene, ángane	tudak pinis na tulait kamap gen
MejikDiwai 103	kone khai	em tok olsem
MejikDiwai 106	akine khaingu emu yomu	kisim displa tingting i kam
MejikDiwai 107	ngá'ikine khai ninge ngu	em tokim ol long en
MejikDiwai 108	hamunge ahe kha, hamunge pite khaingu ngáepina ephane khaiwa	narapla man i no tokim displa bikman na em (bikman) i harim
MejikDiwai 113	ngu moko ngáene khaingu ningu pore ngu more hehe numue háyine khai	tok em mekim em bihainim maus blong en na kaikai blong em kamap
MejikDiwai 116	hauhuwáhepina khai	ol hamamas tru
MejikDiwai 117	menae, na moko nge menae (kone > kupina) khai	tru, tok blo yu em tru, ol tok
MejikDiwai 119	kopi hamunge khapina khai	ol tok na ol i stap
Plet 19	kepu hokho hokapa maha ekhámukhai wi	asde mi katim diwai plet pundaun pinis, yumi2a go na
Plet 26	Muri aweru hokapa oita ekhámukhai	mi katim na i go daun lo baret
Plet 35	kepu hokakhu no akhu wepakhai	mi katim na lusim lo hia
Plet 37	Rː o, umo hapokamai ngu amanakhai ni?	Rː oh, yu katim diwai na lusim long en?
Plet 38	umo hapokakhu no apakhai	mi katim diwai na lusim lo hia
Plet 53	im umo kapakene khaino	pipia diwai blo mi hia
Plet 59	hokho máisimukhai	plet em bagarap
Plet 67	ngae ekhono hokho máisimukhaine ngae hokho	olsem na nau plet bagarap
Plet 112	kepu pihe epakhai nake	asde mi kisim hap na
Dwarf 15	koikimu/ koi hai emu hungumukie khane khaino amare	em save putim bilum insait long han sangana blo en
Dwarf 50	mua hukimu nama amu khai yoho kokane yoho mua yaka wene kha	em sumuk na sindaun stap em mekim paia na smuk paia igo antap na
Dwarf 53	yoho oita geimu khaine	em lukluk go daun long paia stap na
Helikopta 42	epu are hi koupu khaingu epu hopu apu kha	mipla tok inap na mipla lusim displa na
Histry.Tr 1	yo̝pínakhai ~ yupinakhai	ol i kam
Histry.Tr 31	*ngu opopo hinekhai	bad for "3sg made food"
Histry.Tr 32	ngu opopo himu̠ anekhai	3sg made food
Histry.Tr 34	hayínekhai	em kamap pinis
Pait2 3	hamunge kaya anane ipina khai ni moko	stori blo ol man bipo ol bin pait
Pait2 13	eipi maha akipi khaining ipi pore wipi	ol putim ol lo graun olsem igo na
Pait2 14	apirara pitengu ara kua khayaka wipina khai	ol igo antap lo big bus ya
Pait2 31	emenoka hambe ane ngu para ngu hipa khaingu ngeipi kha	em soim ol nau lo em ol lukim as blo em ya na
Pait2 33	maukh ipi oitaku khamaipi nge haikhu khaingu khaining imu pore wemakine kha akaipi wemakipi arawohe	ol lap na stap lo tamblo ya em displa bikmeri ya em mekim olsem na em igo yet nau ol bihainim em igo yet
Pait2 39	ngae haikhu khaingu hipa tf yakhimu khaining ine ngu	olsem na displa meri ya mekim olsem na em opim as lo ol na em
Pait2 40	hine onanoka ambirou ine araramae wipi,wipi,wipi pore haikhu khaingu wimu hamunge grup khaipi khaingu nge	em mekim na bun blo ol slek na ol igo isi isi na meri ya em igo na displa ol bikgrup olman stap ya
Pait2 41	hamunge khaipi khaingu	ol man stap lo displa hap ya
Pait2 46	nge rumapina nge ameme ekhapi yopi kha yopi ura yopi wipina khai	ol sutim sampla na sampla em ol kam daun ken na ol ronowe ikam igo pinis
Pait2 48	hamunge Horokoi kha Heiwa khaipi khaingu nokakapina khai ngu pore	ol man Horokoi bin kilim olgeta displa ol Makam ya em
Pait2 51	pahe ngae ipina kha ameme Heiwa more piteko nge yopina khai	ol toktok lo ples na ken bikpla grup blo Makam ya em ol bin kam
Pait2 52	yopi kha anane khaingu nge eipi akaipi wopi nemo nge wipi kha	ol kam na displa pait ya em ol joinim igo tasol go nau
Pait2 54	anane khaingu nukhipina khai	ol bin lusim displa pait ya
HausPisin.Tr 21	okémukhai	em pasim
HausPisin.Tr 22	ukímukhai	em kukim
HausPisin.Tr 23	ókhimukhai	em lus tingting
E12 3	ngengenúmimukhai	em doti
E12 59	hará imukhai	em wankain
E12 60	hará himukhai	em wankain
Guria3 6	mie piteingu  ene khaipu khaipu	bikpla guria kamap na mipla stap,stap na
Guria3 8	neige apu apakhane apu ipu khaipu,khapuna wemu haringuni yamu anga amu ine kha	autsait kam insait na mipla stap,mipla stap igo tudak na tulait igo nau
Guria3 9	khapuna khai 	mipla bin stap
Guria3 12	ekhono ara hauhi maipi  sahipi khaipi waka	nau ol mekim fil long em ya
Guria3 16	khaipu khaipu moko epu ngu para	mipla stap, mipla stap na toktok pinis nau lo hap em
Guria3 24	pherete,mberengene opopo kuha nokhipu yopu ,nukhipu kha wipuna khai/hoko,owe opopo kuha nukhipu kha wepuna khai	olgeta pot na pleit em mipla lusim kam,mipla lusim na mipla bin go
Guria3 27	ngu khapuna khai	mipla bin stap long em
Guria3 29	wepu ngu khahu roka khapuna khai nemo	mipla igo na stap wantaim em long daun bilo mipla stap tasol
Guria3 32	kara kha yopi etapi wepina khai/opopo kunie apoki apoki yomu etamu wene khai	ol kar bin kam na kisim mipla na igo
Guria3 34	kara epu wepuna khai ni/opopo kunie apoki apoki epu wepuna khai ni	mipla bin kisim kar na go ya
Guria3 35	eipu wepu wepu Bibuai namapuna khai eko	mipla kisim igo ,igo na mipla bin sindaun long Bibuai ya
Guria3 38	hinatapi khapina khaipu khaipu, khapuna wemu	ol lukautim mipla stap na mipla stap,stap ,mipla stap igo
Guria3 41	naita umo khapuna khai ni	krismas yumi bin stap ya
Guria3 42	orokhaku khapuna khai ni	mipla bin stap long daun bilo ya
Guria3 44	khaipu anga keme kha khapuna khai anga khaingu ni nge ngu umo kuha yomu wene khai	mipla stap na hamaspla dei mipla stap em ,sampla yia go pinis
Guria3 55	wepuna khai hamame	mipla bin go bek gen
Guria3 56	hamame  Bibuai wepuna khai	mipla go bek gen lo Bibuai
Guria3 60	khaipu khaipu,khaipu	mipla stap,stap,stap
Guria3 87	ngu khaipu khaipu,khaipu,khaipu khaipuna wimu ara kaiya ere ni	em mipla stap ,stap,stap igo longpla taim em
Guria3 89	imi topo oh ipoitopo khaipi nake opitoupu hitekeipi kopu khaipu nemo nge pe	ol mama blong mipla o ol papa blo mipla stap olsem na mipla ting olsem ol bai givim kaikai long mipla tasol em nogat
Guria3 90	emeito ipu khaipu opopo ahe eipi hite makuapi hae itae gapman	mipla lukluk stap na ol ino save givim wanpla kaikai long mipla,gapman tasol
Guria3 93	eipi hitepina ngu ipu khaipu khaipu kha	ol givim mipla na mipla kaikai displa na stap,stap na
Guria3 97	opopo mokepe anganga yani ngu menae ngu khuhake yomu wekapene khaipu khaipu kha	mun em tru em ikam go na mipla stap stap na
Guria3 101	hamunge naita hine tapi khaipi khaingu kha	ol man we was long yumi stap ya tasol
Guria3 110	benben ako neka opopo khuha nukhipi yopi khaipi kotapi	sori stret yupla lusim olgeta samting na kam ya ol tok olsem long mipla
Guria3 120	kopu kha khamakipu khaipu opopo sahipu  	kopu kha khamakipu
Guria3 122	nama apu khaipu	mipla sindaun stap
Guria3 123	nama apu khaipu kha	mipla sindaun stap na
Guria3 129	ngu ima kopohe khaino haine khai ni	em displa pikinini man blo mi ya bin bon ya
Guria3 130	hai ine khai ngu pahe no yomamo hai ere	em bin bon em kam hia long ples pastaim na em bon
Guria3 141	khaningine khaikhu khaikhu khaikhu wekhu	em mekim olsem na mi stap,stap igo igo 
Guria3 150	nukhimu ongimu khai	em lusim na malolo stap
Guria3 151	o'ngo imu khaimu kha ngu para	em malolo stap na long hap em
Guria3 161	opopo poro hipuna imise yomu khai	mipla putim ol samting kam long rot na
Guria3 162	imise yomu khaine	kam lo rot na
Guria3 173	ane apakhane khaingu wore hinge opopo mokepe apakhane khaingu	em igo insait lo wanem ya herikopta
Guria3 208	isipu khamakipu khaino ipoe yore	mipla silip istap na papa blo em ya ikam
Guria3 209	yone khaipu	em kam na mipla istap
Guria3 223	wene khai khaino	em igo pinis displa ya
Guria3 226	ekhu sahi ipua khai	mitupla kisim na stretim
Guria3 230	niniye kokope niniye puru khaino para okene uni ekhamu khai	piksa blo bikpla sista em pasim laplap igo daun olsem lo hia
Guria3 231	kohe mbae khane pipi yakhikh ane khaino humo	okei em sanap korostu lo tumbuna man blo em na displa tu
Guria3 237	ngu pore Wavivi wainingu kiku nama'apuna khai ngu khaingu	em mipla sindaun antap lo em 
Tumbuna 7	haringuni nge ngu khane khaipi	tudak ya ol stap insait lo em
Tumbuna 12	mbuma opopo warkhui khekhaino khimikhapu khaipu nge	ol samting blo waitman ol displa trausis mipla werim stap ya
Tumbuna 18	a ngu moko nge ngu khanuk imu khai	a stori blo em ya em olsem
Tumbuna 21	hita mbaitopo khaipi nge haringuni piteko nge khane khaipi	ol bubu blo mipla stap ya ol stap insait lo bikpla tudak
Tumbuna 33	mbuma sahi pina yone hita imaipu khaino nge kaya pe	ol wait man mekim kam na mipla save kaikai stap ya bipo nogat
Tumbuna 38	ngae ngu moko ek mara nge ngu khanuk imu khai	olsem na mi laik stori lo displa ya em olsem
Tumbuna 39	mbaitopo kaya ara kaya khaipi khaino nge	ol bubu bipo tru ol stap ya
Tumbuna 49	khamaipi khaingu nge ngu ino kowo	ol stap ya em mi bai tok wanem 
Tumbuna 56	ur wen ipi kha nge wipi khukhu ipi khaning ipi kha pahe yaipi nukhi nukhi nukhi ipi kha wipina khai	ol ranwe igo tumas olsem na ol igo mekim haus lusim,lusim,lusim na ol bin go
Tumbuna 58	wipina khaine 	ol igo pinis na
Tumbuna 60	yomu khaingu yore nge hamunge pite mokope yaka ngu ekhamu maha khaino ekhare nge	kam lo displa ya bikman lo Heven ikam daun lo displa graun ya
Tumbuna 62	hita nainge Papua Niu Gini komaipu khaino	ples blo mipla save kolim Papua Niu Gini ya
Tumbuna 65	moko ngu norokapu khawapu	toktok em mipla ino tingim
Tumbuna 91	mbu ngu saporo kha eipu yopu kha nge hita umo kheko ora kheko kaik apu kha nge opitoupu hipuna hai ene kha opitoupu khaingu ipu kha nge khamaipu	mipla save kisim tamiok blo ol waitman kam na katim ol diwai na ol gras nau mipla kamapim ol kaikai nau na mipla save kaikai ol displa kaikai ya nau na mipla save stap
