Two Women Go Fishing 13	ando kamblu	evening came
Two Women Go Fishing 14	ando kande naga tende bale kabil bunda	twilight came, and they went back to the house
Two Women Go Fishing 17	naga sanggumo kanda baranda, nomu temi	a witchcraft man came, a bad man
Two Women Go Fishing 19	kanda baranda hindlende naga gula gula kabi hundugoil hogol menda	the witchcrafters came and they were afraid and went and hid in the corner
Two Women Go Fishing 23	sangumo si kandu kabi kundol peindu gogogndu tutodo peinde	one witchcrafter went into the corner and felt around
Two Women Go Fishing 61	pu kana ae nga hogo mabu pandu no hogol	he took them and bit him
Two Women Go Fishing 62	kabi kandeng le no ganggana yadi dundong gurugurunda	the man broke through the house and ran, and his friends ran away with him and broke their bows and arrows/ ol brukim haus na ronawe na ol wantok blong en brukim ol banara na ronawe
Two Women Go Fishing 67	hede yodi mende no kandu	they waited for him and he came
Stori Blo Kulo 15	ando pe- peindu masu iamba urail kandu	at night she fished then came home
Stori Blo Kulo 23	kulo dendu ne kae dendu	and said "Kulo, you come"
Stori Blo Kulo 35	kumanduna kumsindna no kandu bara no gonggo nandu no gonggo kumandu	she (big sister) came and saw her brother and he was dead
Stori Blo Kulo 77	no unggai palo kabunduna sunduna wan tilenduna kasang panundu	he emptied the bamboo and saw his nephew's face
Stori Blo Kulo 79	kasang pano imba po bundu kabi alu po bundu tube nga go halul yuglendu	he decorated him and took him inside the house and put him in a clay pot
Stori Blo Kulo 83	no kalim kanda	along with the young girl
Stori Blo Kulo 84	Kulom kanda baranda	with Kulo, they came
Stori Blo Kulo 92	pusan tendu iba no gonggo halul kasang tendu mang mendu	she went to get the pot but it wasn't there; her brother was sitting there with his bilas
Stori Blo Kulo 105	aria pu aulel kawondu mang panundu nomu kanda koro	alright, he took them down and sat them down by the house
Two Men, Two Possums 36	nagoro kae no ka tile	They came and stood
Two Men, Two Possums 41	Linus o ne ama kae	Linus, you come here!
Two Men, Two Possums 43	de Linus guru kandu	And Linus ran and came
Two Men, Two Possums 53	galu mende nogoro guru kanda	they're still going, and the two men ran up (ran and came)
Two Men, Two Possums 62	nogoro kae go nga go bunda	They came and went up the mountain
Banaga Story 28	oh, di moi hogol kasango	"ok, I will come on this day"
Banaga Story 29	di abnan kasan	"I will come tomorrow"
Banaga Story 40	mende moi hogol no anggi kana	waited and on that day, his uncle came
Banaga Story 44	no anggi nomu baianga pu kandu kil yugo ki sina hedendu	his uncle had brought lots of people and they were washing in the river
Banaga Story 45	no wula guruo kandu dendu	his son ran and came and told him
Banaga Story 48	pu ne anggi nomu baianga gereng kandu yugo ki nga yuk ki sinamblu 	"your uncle brought lots of people and they're washing down below"
Banaga Story 55	kasang punu ugele	he bilas'd her a lot
Banaga Story 56	kasang punu ugele	bilas'd her a lot
Banaga Story 57	gori kasang punu ugele le	dressed her up with paint
Banaga Story 65	kandu no bia dendu no kabi halul jigie me	he told his wife "you go hide in the house"
Banaga Story 90	loundna pa tuma mendna no anggi kanda	the food was cooked when the uncle came
Banaga Story 92	kla temi go go tumole hamba go hogo kandu kandu ka: bundu bara kandu	ples no gut ya, he came up the mountain and came and followed and came up here
Banaga Story 93	kandu ka ka no anggil barandu	came to the house (came to his cousin)
Banaga Story 97	tendna no anggi kandu	thus, his uncle came
Banaga Story 98	kandu ge koindna no anggi hamal ka mange, no, no anggi	came and he put down a mat and came and sit down
Banaga Story 106	uh, bia ne kide mei ne anggi kana mang na mugo	hey, wife, what are you doing, uncle is sitting here
Banaga Story 118	gori pe wagu mendu kandu kandu	she was all dressed up and came over
Banaga Story 193	kandu si badlinga go lumong lumonge toto kakandu le	a long rope and he folded it up and took it and put it
Banaga Story 199	pa ionggo go pukandu habundu habundu kanda romoi	the food was in the leaves and they folded them and closed them
Banaga Story 221	pu mile di abnan ge peisu bara di si pu kasanu	"I put it there and I will come get my rope tomorrow"
Banaga Story 246	nomu no... no kana pu peindu hogo diendu	the man, he got his friends and talked to them
Banaga Story 265	kanda bara no ali	he came up, his wood
Banaga Story 278	eeh, wula go minjegi pa minjegindri pa ngala pu kana iable ige diena go	eh, you brought a little bag of food and you don't want to eat it yourself so you tell us
Banaga Story 291	no anggi bia gorin kasanggo no pundna	his uncle's wife dressed up in paint and took him
Banaga Story 292	no bia kandu bombarugndu	he was angry with his wife
Banaga Story 304	non urail bia kandu	his wife came back
Banaga Story 305	no kana pu peindu hogo diendu ingge ka pa ningge	he got his friends who had gone (to Banaga) and told them to come serve the food
Banaga Story 306	a kanda pa ninde na i pei pei peiii imba	they served the food, served and served and served, and it was finished
Banaga Story 310	kalil kalil go table kanda go kabue	they all got plates, full ones
Banaga Story 386	ne anggi kanandu	your uncle is coming
Banaga Story 415	ok, no wula kandu barandu	ok, his son came
Banaga Story 418	no biam bagondu inggoro na ngam kanda nagam bara andagam	he called to (the child and) his wife "you two come here, it's morning"
Banaga Story 435	no anggi kana go no soldia baianga pukana	his uncle had come and brought a lot of soldiers
Banaga Story 451	klonggi si iba kla tetemi klonggi hamba wegi pei kama hogol no wula hogol	no other road, it was a bad place, only one road came in and out of there, and the boy waited there
Banaga Story 474	no anggi lain kanda	his uncle's group came
Banaga Story 476	kandu barandu no ningsan tenda	came up to kill him
Banaga Story 478	kanda yadi guruep te kanda kanda ka kanda	they came up to shoot their bows and arrows, came came came
Banaga Story 480	kakanda ka nomu yobrum yo kanda kakanda go	they came and came, two men came first, came
Banaga Story 483	nomu yobrum hogo kae arongu pue gaksil koindu	two men came, he grabbed them both up and threw them down the slope
Banaga Story 486	danu kakanda kakanda yobrum uri kanda	the others came, two more came
Banaga Story 487	kanda hogo towo bili	two more came just like the others
Banaga Story 497	kide sae naga kanda	what are they doing? are they coming?
Banaga Story 499	kanda boduk tilenda brege dienda hogol tile dienda	they came and stood close, took a break, and asked each other
Banaga Story 526	klonggi gendil jangga tague kanda	they cut (to the bush that was) to the side of the road
Banaga Story 529	klonggi gend- gendil jangga tague kanda	they cut through at the side of the road and came (towards the Banaga place)
Banaga Story 530	kanda	they came
Banaga Story 532	ali pe dugogo mendu hogol le naga kanda bagol tue peindu	he turned into a tree and leaned down so they came to the junction
Banaga Story 544	peindna le naga bunda kanda	they had come for nothing
Banaga Story 546	naga kanda gendi jangga tague	they came and cut through the bush
Banaga Story 549	kanda kandaaa, kanda ki ngal bara ki sinanda	came and  came and came down to the big water and washed
Yam Story 20	heme kasunu knyangsunu	sun comes and the garden dries
Yam Story 73	kundzo iamba mbae kana	painim abus na em kam
Peanut Story 35	g- gana bele lo go di ka- kana ka kusan	when the peanuts are ready, I come dig them up
Peanut Story 44	hai pue urail kasan	I take the money and come back
Peanut Story 53	hede pu imba kama	so I get it and come
Gogoro and Nggau 22	kil wandu mali nga kandu mali nga kandu peindu ali anil tile mendu	he went down to the water, a big storm came, a big storm came and he went and stood at the basee of a tree
Gogoro and Nggau 26	mendee mali pundna no kandu	stood and the rain finished and he came (to the water)
Gogoro and Nggau 30	ki palba kandu no gangsogundu	high water was coming so he jumped
Torches 20	di lamu kasa	I come for fire
Torches 34	um- dulum kanda bo kandu barandu	they (dog and spirit) had fought and the pig (and the rat) came up (there are errors in this sentence)
Torches 36	bo kanda bara dienda, eh, masu mae	the pig came up and asked 'where's the fish?'
Torches 38	jigar jagin kana ia imba na go	the spirit had come and eaten
Torches 51	tilendo diendo "wau di lamu pup kasago"	he stood up and called "ancestors, I want some fire"
Torches 97	sisangga kandu iu ki halil wandu kuma mende nagoro yobrum ka baranda	he thrashed in the water, dying, and the two (pig and dog) came over
Torches 98	kandu gognda ohoo	they came and saw, "ohoo!"
Torches 100	kanda baranda	the two came up
Two Brothers 54	no kasang pue	he took the bilas
Hunting 53	Lambet peie ke pue kandu barandu	Lambet went and got buai and came back
Hunting 56	kakandaa	they caaame
Hunting 63	kakanda pagle kawonda manda sengse dedende bo si uri ninda	they came down the mountain, near their house and killed another pig
Hunting 69	ooh, peldok kande rei temie pubu gure bek pubu kalil rague 	peldok came and saw the snake and trembled and threw his bag and his things
Hunting 100	ah, no kali Aringa kandu barandu	ah, his daughter came 
Hunting 101	kandu barandu dendu "oohh kere iba go"	she came and he said "ohhh I can't do it"
Hunting 104	naga kabil kandu barandu	they came up to the house
Hunting 105	kanda bo ayonda	they came and cut up the pig
Snake Song 43	mandal kae	he came home
Sumdal Story 74	kanda	came
Diving With Goggles 44	na wula go kande	and the boy came
Diving With Goggles 51	wula go tile bia go pue mandal kandu	the boy got up and took the woman to the village
Diving With Goggles 61	hogo pue mandal kandu, kabil kandu	so she took her into the place, into the house
Diving With Goggles 66	na bia pu kabil kandu	he took the woman up to the house
*Paradigms Week 3-5 1	di Kulbu kasa sa sibipsan kasa; ne Kulbu kasu sa sibipsunu kasu; no Kulbu kana Sa sibipnan kana; ige Kulbu kasu sa sibipsunu kasu; ingge Kulbu kasa sa sibipsan kasa; naga Kulbu kasa Sa sibipsan kasa 	X came to Kulbu to learn Sa
*Paradigms Week 3-5 3	isli gamsel Don kandu Kulbu nandu	last week, Don came to see Kulbu
*Paradigms Week 3-5 35	(Mondon) ne kane igoro pa iangsunu; naga kanggle ige pa iangsunu; di kasle ige pa iangsunu; ingge kangglne ige pa iangsunu; ige kae ige pa iangsunu; no kalne ige pa iangsunu	If X comes, we will eat
*Paradigms Week 3-5 38	sale ne kabu asi ne kandne di gama belena	yesterday you didn'y come, now you come and I'm happy
*Paradigms Week 3-5 40	ne ka ige pa iangsunu; no kasunu go ige pa iangsunu; ingge kanggle ige pa iangsunu; di ka ige pa iangsunu; naga kanggle ige pa iangsunu; ige ka ige pa iangsunu	when X comes, we'll eat
Nyonggol Gayang 125	di ki ma to babu kasan go	I'll follow the water up, I'll come (back?)
Nyonggol Gayang 138	kasu pu kandu	he brought a torch
Nyonggol Gayang 147	sembleng kande	dawn was here
Nyonggol Gayang 181	hede naga kanda	and so they came
Nyonggol Gayang 209	soldia wa salim kanda	they sent the fighters over
Nyonggol Gayang 213	no go dunun kande nie	they sent them (the soldiers) to kill
Nyonggol Gayang 214	lamul sinda, yago kandu	wind came and was heated in the fire
Nyonggol Gayang 217	nyala kandu mendu nie	he turned to a snake and they killed it
Nyonggol Gayang 224	tile kande ninda	he jumped up and came and they killed him
Telling The Pear Story 1 10	kawo kanda andi nga menggel mendu hotol gurue handugundu	he comes down and spills the big bilum on the ground
Telling The Pear Story 1 19	kandu nagoro klonggil anggi lelunda	he (the two, I think?) comes and runs into a friend on the road
Telling The Pear Story 1 21	anggi lelu no wuka kandu haigol bundu	he meets his friend then he hits a stone
Telling The Pear Story 1 25	a no kandu	he comes
Telling The Pear Story 1 27	no ka banggana dani kandanu	he comes and meets his friends
Telling The Pear Story 1 46	no kindli gongglu go pue kandu peindu no kamblu	they get his hat and go and he comes
Telling The Pear Story 1 51	taie klonggi towo peinde no urail tambininge kandu	he pushes the bicycle down the road and turns back
Telling The Pear Story 1 52	no ka kandu	he comes
Telling The Pear Story 1 55	no ka kandu nagoro	the friend comes and meets the others
Telling The Pear Story 1 56	yobrum hogol dugum go klonggi towo kanda	the two follow him and come
Telling The Pear Story 1 57	ka me ali magi pue ia ia klonggi kowe kanda	they come and get the fruit and eat it and follow the road and come
Cat And Rat 202	yobu gomu peindu kandu	went to church and came back (was coming back?)
Cat And Rat 204	kanda kabil barae	he came up to the house
Cat And Rat 242	munga munga kandu	he cried and cried and came
Cat And Rat 243	munga munga kandu no pusi kandu go kabil le no urail wandu no ja pundu	he cried and cried and brought the cat and left it at the house then went down to get the table
Cat And Rat 245	ja pu kandu le	took the table and came and put it
Cat And Rat 250	no puma mange mena di kasa no bini jigina go hogo ne grisime pu wanae	something was sitting here, I came, and it ran and hid. it must have talked him into it, brought him and come down
Cat And Rat 263	pug bili di nasago di kandna no	That's the only (reason) I see
