Two Women Go Fishing 15	tamal bunda kabi jigul minjagil menda	they were in the bush, they went to a little bush cabin
Two Women Go Fishing 16	lamu jusan te digere mende	they made a fire and were thinking
Two Women Go Fishing 19	kanda baranda hindlende naga gula gula kabi hundugoil hogol menda	the witchcrafters came and they were afraid and went and hid in the corner
Two Women Go Fishing 20	jigie menda	they hid there
Two Women Go Fishing 22	jigie mendna	hiding there
Two Women Go Fishing 65	towo mendu de mendu "oeee, tilengge ingge di puma gilingge"	he followed them and yelled "you stop, something's doing something (hurting me), help me!"
Two Women Go Fishing 67	hede yodi mende no kandu	they waited for him and he came
Two Old Men 30	hogo naga ke ia mendna	they were chewing buai
Two Old Men 32	habo minjegi hogol tile menda	a little kapiak tree was standing there
Two Old Men 36	naga hogo mang menda	the two were still sitting there
Two Old Men 38	mang mendna	sitting there
Two Old Men 40	nomu bele go ke ia mendu	the man was chewing buai
Two Old Men 42	ke ia mendna	chewing buai
Stori Blo Kulo 10	no poel, uh- ge mendu	she's from uh, Ge
Stori Blo Kulo 12	no ge mendu	she's from Ge
Stori Blo Kulo 20	brisi pil barandu gilnandi hogol mendu	she came to the home of gilnandi (another spirit)
Stori Blo Kulo 26	hedendu no mendna	and so they stayed
Stori Blo Kulo 51	kabi tuma Gilnandi kabi alul mendu tumandu	she was in the house and it was on fire
Stori Blo Kulo 81	le imba no urail kawondu mendu na no biam	having put him in, he stayed and his wife came over
Stori Blo Kulo 92	pusan tendu iba no gonggo halul kasang tendu mang mendu	she went to get the pot but it wasn't there; her brother was sitting there with his bilas
Stori Blo Kulo 101	no unggai bundu barandu iba nagoro no bonggo mang menda	the uncle went up and looked, the two siblings were sitting there
Stori Blo Kulo 110	hede mendna aria naga bambi le aria ige manda nganggundu	and so they were married, they had children and a big home
Stori Blo Kulo 111	hedendu Kaimba mandanga hogol mendu	and so the Kaimba village/clan/home was established
Two Men, Two Possums 8	nogoro inggol hogol menda	they were from Ingol
Two Men, Two Possums 17	hiou nie handugu hogo bab menda gubu nga	They filled their bilum and went to the big valley
Two Men, Two Possums 22	hede babu menda añe pue ede ili menda	then they picked up a dog (the dog?) and kept wandering 
Two Men, Two Possums 23	anyen hiou ni menda	The dog killed the possum
Two Men, Two Possums 33	ali angglel dulu mende no wasi si	(possums) fighting on top of the tree, one brother watched
Two Men, Two Possums 38	ali angglel bigi go dulu menda	fighting on top of the tree
Two Men, Two Possums 39	dulu mende no amu koie pu nga yobrum nandu	He stood and watched them still fighting
Two Men, Two Possums 44	guru ka amu koindu pu nga yobrum dulu menda	ran and came to look at the two big possums fighting
Two Men, Two Possums 45	dulu menda nogoro hogol tineng ali anil jigie	They were still fighting and the two men quietly hid at the base of the tree
Two Men, Two Possums 46	amun gog jomu menda pu go kidekide ka wung san	they stood and watched for them to come down
Two Men, Two Possums 47	hede mende gog mende pugo duludulu de yobu	they stayed there and watched the two fight with their paws
Two Men, Two Possums 53	galu mende nogoro guru kanda	they're still going, and the two men ran up (ran and came)
Two Men, Two Possums 70	nogoro hogol menda hogol nogoro manda	They stayed there, it was their home
Banaga Story 18	nagoro no biam Banaga menda	he and his wife were at Banaga
Banaga Story 19	banaga gol bigik menda	they were on top of Banaga mountain
Banaga Story 21	mende	they were there
Banaga Story 31	no anggi sa iage mendu no pubu rerendu	he heard his uncle's message and got everything ready
Banaga Story 39	imba mende ge	he finished and he waited
Banaga Story 40	mende moi hogol no anggi kana	waited and on that day, his uncle came
Banaga Story 54	no mendu no, no bia	he waited, his wife
Banaga Story 63	gere lendu mendu	got it ready and waited
Banaga Story 72	no bia iage no kabil mendu	his wife heard him and stayed in the house
Banaga Story 74	kabil mendu nagoro no wulam aulel mendu	stayed in the house, while he and his son waited outside
Banaga Story 75	menda pa lamu jundu pa tumandu mendu	made a fire for the food and the food cooked
Banaga Story 77	mendu na	waited
Banaga Story 90	loundna pa tuma mendna no anggi kanda	the food was cooked when the uncle came
Banaga Story 102	mange mende	sat there
Banaga Story 104	puno tile mende "eh"	he (the man of the house) gave them (the stuff) and stood "eh"
Banaga Story 118	gori pe wagu mendu kandu kandu	she was all dressed up and came over
Banaga Story 125	wula go bum borunge go mange mendu	the man was happy and he sat there
Banaga Story 127	mendna	still there
Banaga Story 151	naga digere hede pue mange goge menda	he had this thought, sitting and looking around
Banaga Story 184	dendu no wula kabi halul mendu kabi minjegi mendu wandu diendu	his son was in the little house and he went down to talk to him
Banaga Story 215	pei mende n- no anggi tile	he was still working on it when the uncle got up
Banaga Story 226	ne kabi minjegi mil hogol wan len mendu	if you have a little house put it there
Banaga Story 270	tamue lenda hogo mendu, eh	stacked them there, eh
Banaga Story 272	mendna naga mange gog mendu	stayed there, the men sat and looked
Banaga Story 279	ige die naga mang gog menda	you told us and now they're here looking
Banaga Story 280	gog mendu si hembreng	they watched and he removed the rope
Banaga Story 287	hogol mendu	she stayed (at home)
Banaga Story 299	nganu nganu mende table pukandu hinje imba	still angry, he took the plates and put them (by the food)
Banaga Story 320	pue menda	they took and waited
Banaga Story 321	mendna, "ok, ne sa pere"	waited, "okay, you talk"
Banaga Story 351	mende	stayed
Banaga Story 391	diendu mang mendna di sa minjegi peresnle ingge kabil peingge hede diendu	"he told them "sit down and I will say a few words and then you go home""
Banaga Story 410	no sa yagundu mendu	he heard the story and he stayed
Banaga Story 412	mende	stayed
Banaga Story 432	naga mende	they waited
