Two Women Go Fishing 23	sangumo si kandu kabi kundol peindu gogogndu tutodo peinde	one witchcrafter went into the corner and felt around
Two Women Go Fishing 24	peinda bia go todonda, bia towo todonda	he felt around and he felt the older woman
Two Women Go Fishing 27	peindu	he went
Two Women Go Fishing 31	no yobu peindu kikideng kikideng no reireindu	having touched her, he shook her hand
Two Women Go Fishing 39	no iondo gronggrong peinda	(he inched over to them?? he was in the same place as them already but there's some kind of movement)
Two Women Go Fishing 40	bia yobrum peindu todo pundu	he grabbed the two women
Two Women Go Fishing 41	todo pundu si todotodo peindu ibandu	he held them but let one go/lost one
Two Women Go Fishing 44	no peindu digere jagi pundu	he had another idea
Two Old Men 6	nagoro no biam peinda	with his wife he went
Two Old Men 8	nagoro anye pue tamal peinda	they went to the bush with their dog
Two Old Men 10	tamal peie ililie, nagoro hiou ninda	they wandered around in the bush and killed a possum
Two Old Men 18	gol peie, naga ke he- hogol sanda	on the mountain, the two found buai
Two Old Men 26	go weg peinda	and went right up the mountain
Two Old Men 28	go weg peie mange	they sat on the mountain
Two Old Men 69	nagoro le nagoro peinda	they left and went
Two Old Men 71	peie kil mange	went and sat at the water
Two Old Men 73	hogon kabil peinda	and then they went home
Stori Blo Kulo 14	no peindu masu iambandna	her mother was fishing
Stori Blo Kulo 15	ando pe- peindu masu iamba urail kandu	at night she fished then came home
Stori Blo Kulo 18	no gonggo pue no binie peindu	she took her brother and ran away
Stori Blo Kulo 19	peindu	she went
Stori Blo Kulo 28	no wau dendu di masu iamba peima go	she (Kulo, the girl) said, (to elder, fig.) I'm going to go fish
Stori Blo Kulo 31	hede no masu iamba peindu	and so she went fishing
Stori Blo Kulo 39	mungandna Gilnandi no wulengdu ne kide meie lamu puga di tumo- uh- amul peindna go di mangmago	she said to Gilnandi "the smoke got in my eyes while I was sitting here"
Stori Blo Kulo 45	gonggo pue no nggail peindu	she took her brother and went to their uncle
Stori Blo Kulo 48	no peindu no nggai klonggil baranduna	she came to her uncle's road
Stori Blo Kulo 54	Kulo peindu no nggail barandu	Kulo got to her uncle's
Two Men, Two Possums 12	ilib de peinda	they were in the bush and they went
Two Men, Two Possums 14	Ogo ilib peinda	So they were wandering the bush
Two Men, Two Possums 16	Nagoro ilib peie hio nie	They raun'd and killed a possum
Banaga Story 43	no wula peindu gogndu "eeh"	his son went and looked, "hey"
Banaga Story 113	gangsok kawonde pu peindu tf	jumped up and came down, took it and went tf
Banaga Story 128	no bia diendu eh no anggi se kusumbimblu go peisunu go	he told his wife that his uncle, it was getting to afternoon, and he was gonna go
Banaga Story 167	peindu kere lendu	it was enough
Banaga Story 200	puagl go pa ngalanda, ehh pa pe peindu min- minjegegegegegi ngala minjegegegegi yobu hamban pubu ngalandu	he covered the food and packed it tight and small small small so it could fit in one hand
Banaga Story 201	ne pu yaba tenem tenemu pa hogo wandu kabundu kla pundu hogo peindu kilandu	he put the whole leg and the food and packaged them up and they were small (this sentence was a train wreck)
Banaga Story 208	digere punundugo pa peindu minjegundu	he thought and gave it to him and the food got small
Banaga Story 212	oh anggi oh kaye ige peimu go	oh nephew, thanks, we're gonna go
Banaga Story 213	peime oh peingge andumblugo ingge peingge	go, y'all go, night is here, y'all go
Banaga Story 216	pa ngala pue tile peisan dende no anggi denda "angi"	he took and covered the food, stood, and told his uncle "uncle!"
Banaga Story 234	ok yage naga peindu	ok, they heard and they went
Banaga Story 236	kil bara ki nga go agle danggas peie	they came down to the water, the big waater, and jumped over it and went
Banaga Story 244	agle ki sina imba naga kabil peinda	they jumped the river and washed and then went home
Banaga Story 246	nomu no... no kana pu peindu hogo diendu	the man, he got his friends and talked to them
Banaga Story 290	no peindu no anggi bia nandu go no bia	he (thought of) looking at his uncle's wife
Banaga Story 305	no kana pu peindu hogo diendu ingge ka pa ningge	he got his friends who had gone (to Banaga) and told them to come serve the food
Banaga Story 308	table go lendu peindu peindu peindu table gabunaundu	they served and served and served the food and the plates filled
Banaga Story 342	oh di bia di anggi bia peisa nasago di amu	but I went and saw my uncle's wife and my eyes
Banaga Story 350	naga kabil peinda	they went home
Banaga Story 354	peibu no uri peindu	didn't go, he wasn't there either (her husband)
Banaga Story 355	no peindu, no si	he (Pul) went, the rope
Banaga Story 356	no anggi si lendu go peindu gogundu si iba	he went to check on his uncle's rope but the rope wasn't there
Banaga Story 381	semblendna naga peip dendna wula go peindu bara	dawn and we were going and now the boy is gone
Banaga Story 387	no peindu	he's going (the boy)
Banaga Story 388	bo nie punusu no peie bandu banggana bagoe pa ia me	"you (Banaga) killed a pig and gave it to him (Pul), called all his friends and ate"
Banaga Story 389	pa ia imba pei peisan dendne	"when the food was over they (the friends) wanted to go"
Banaga Story 397	ne nie di wuna pu peisunu	"they're going to kill you and take my mother"
Banaga Story 427	"peimu sengsel mog tile"	"you will go stand over there"
Banaga Story 433	gogndu "eh," no wula peindu gogndu "eh!"	he looked, "hey!" the boy went and looked, "hey!"
Banaga Story 444	me me no wula peindu gogndu "oh, papa, oh"	waited, waited, his son went and looked, "oh papa oh"
Banaga Story 449	no ser ka no wula pue peindu klonggi	he quickly came and got his son and went to the road
Banaga Story 455	peindu budue lendu no wula gol dugoge	he (the father) put a rope on the tree and pulled it down
Banaga Story 464	oh no bia peindu mi tambininge	oh, his wife went and turned into a banana tree
Banaga Story 484	wanda kindili beimboge peindu	they fell down and broke their heads 
Banaga Story 491	peindu nomu ibaibandu, "eh"	he kept going, the men were finishing (dying off)
Banaga Story 492	nomu yo peisago	"did the men in front go?" (said the others as they came up)
Banaga Story 501	nomu peisa go	(what of) the men who went?
Banaga Story 502	naga yo peisa naga?	(where) did the first ones go?
Banaga Story 510	ne peim goge nana nomu hamba yo peindu	"you go look," and one man went ahead
Banaga Story 511	peie naga amuls	he went and they watched (s might be error)
Banaga Story 514	nomu baianga jaru urail peinda	all the men ran away and went back
Banaga Story 516	jaru urail peinda	ran away
Banaga Story 519	jaru peinda ge	ran away
Banaga Story 520	peindu hogol naga	they all went
Banaga Story 521	jaru peindna	ran away
Banaga Story 525	hede mendna nomu jaru peie	and so the men were running away
Banaga Story 532	ali pe dugogo mendu hogol le naga kanda bagol tue peindu	he turned into a tree and leaned down so they came to the junction
Banaga Story 540	le lenda go wula go binie peindu	he left them and ran away
Banaga Story 543	binie peindu	he ran
Banaga Story 544	peindna le naga bunda kanda	they had come for nothing
Banaga Story 561	hogo nga:nue hogo naga kabil peinda	so they were mad and they went home
Yam Story 8	tama gesa peisa	I cut in the bush
Yam Story 36	di podi peie mengge nisunu	my husband works the ground
Yam Story 72	di podi desan ne peie kunjo iamban	I tell my husband "you go to the bush" (yu go paini abus) (kundzo is bara; should be sumboli)
Peanut Story 3	arait... di digere peie	think first then I'll go
Peanut Story 30	gana pu peie sasan	take the peanuts and plant them
Peanut Story 38	handil handugue di kabil pu peisa, pu pe imba	I fill up a bilum and take it to the house. Having taken it, 
Peanut Story 42	gana pu peisane	I take the peanuts (gana kind of sounds like kanga when she says it; kulel accent)
Peanut Story 43	mandanga peie gana dunu imba	I take them and go to the market and sell them
Gogoro and Nggau 22	kil wandu mali nga kandu mali nga kandu peindu ali anil tile mendu	he went down to the water, a big storm came, a big storm came and he went and stood at the basee of a tree
Gogoro and Nggau 28	jigie peisan tende iba	he hid and he wanted to go but couldn't (walk, bc deep water)
Gogoro and Nggau 32	gangsoga dangal peindu-- danggas peindu	he jumped to the other side (dangal is an error)
Gogoro and Nggau 34	dangas peie go no kabil peindu	went to the other side and went to his home
Gogoro and Nggau 36	no kabil peindu bara	he arrived at his house
Torches 7	peina kil barana	they went and arrived at the water
Torches 12	nomu yobrum peinda	two men went
Torches 21	di lamu pu peie	get some fire and go
Torches 30	um- ngodo go urail no kabil peindu	the spirit went back to his house
Torches 40	ok, ingge ki kaso le peingge, naga ki kaso le peinda	(rat says) "y'all light torches and go to the water," and they lit torches and went to the water
Torches 53	di lamu jomu pu peie	rat: "just get the fire and go"
Torches 60	bom duluduludulu peie bom dili dangga du pue	the two fought and (the spirit) grabbed the pig's tail)
Torches 61	ka ienggna ki halil peindu	he threw the pig and it went in the water
Torches 63	bo iondo ka mendna no masu ia imba no peina	the pig quietly came out and the spirit had finished eating the fish and he went
Torches 84	masu le lamu pu peie	he dropped the fished, took the fire, and went
Torches 87	no lamu pue ma:su ia imbae no peina	he took the fire, finished the fish, and went (no peina is an error- he's not supposed to finish or leave yet)
Torches 99	no peindu no gendil unugo mang amu kuro mendu	he (the rat) went and sat in the corner, his eyes red
Two Brothers 13	na peisa, koronga peisa	They went, went to a big gathering
Two Brothers 14	yagono pupsan peisa	a singsing, and they went
Two Brothers 37	manda hanil peie	go arere lo ples pastaim (go nearer to our house first)
Two Brothers 44	no peina subu tapse no wasi	He went to poop and his brother stayed (with the food)
Two Brothers 47	peina bo tambine- tambinina	he went and turned into a pig
Two Brothers 48	peindu no wasi kumagi go	he went and saw his brother's ass (i think?)
Hunting 11	tamal ili peinda	they went to the bush
Hunting 12	ili peinda peindaa go sil baranda	they went and came to one mountain 
Hunting 16	heme peimblu	the sun went down
Hunting 24	islil dzanga peima	they cut across the back of the mountain
Hunting 26	peinda peindaaa, iba	they went and went, no luck
Hunting 28	peinda peindaaa ki wula si mangga	they went and went and sat down by a stream
Hunting 39	peindaa ki gabu bara peindu pagle bunda	they followed the ditch, left it, and went up the mountain
Hunting 43	ki de be heme wandu heme gogunda heme peinda yug wandu	we should go, the sun is going down
Hunting 47	nagoro peinda wanda wandaa gubul sil baranda go anye peinda go si ninda	they went and came to a valley, and the dog killed a pig
Hunting 50	nagoro peila, peinda ke punda	they went, went and got buai
Hunting 53	Lambet peie ke pue kandu barandu	Lambet went and got buai and came back
Hunting 72	wandu peldok go no peindu peindu	peldok went down and went
Hunting 78	anye peindu nyala agle agle peindu, peldok no gulae	the dog jumped over the snake, peldok was afraid
Hunting 82	nyala denda "ne peie"	they told the snake "you go"
Hunting 84	nyala peindu	the snake went
Hunting 85	naga peinda wanda "ee, kereba"	the two went down but said "we can't"
Hunting 89	ne urail mandal peie	so you go home
Hunting 90	peimuuu aringa den kale	go get Aringa and come
Hunting 92	Aringa kabil mu, ne peie, gurue	Aringa is at the house, bring her
Sumdal Story 12	tamal ili peinda	went to the bush
Sumdal Story 14	tamal ili peinda	went to the bush
Sumdal Story 41	si peindu	one went
Sumdal Story 95	kabil peinda	went to the house
Sumdal Story 97	kabil peinda	went to the house
Sumdal Story 106	peindu kil wandu	he went down to the water
Sumdal Story 109	mandal peindu	went to the village
Sumdal Story 110	no wasi si mandal peindu, no wasi peindu kil wandu	one brother went to the village, the other went to the water
Diving With Goggles 12	uh wula go ki galas peindu	he dove with goggles
Diving With Goggles 13	ki gala galas peie iongginu	glass, glass, went, stone fish
Diving With Goggles 14	ki gug peindu	he dove in the water and went
Diving With Goggles 15	ki gugul peie em kili-	he dove and dove and killed-
Diving With Goggles 20	ki gug pei peie bag barandu	he dove and dove and came up to the surface
Diving With Goggles 22	ki gug peindu, um	he dove and dove
Diving With Goggles 34	ki guo pei peie	dived and went and went
Diving With Goggles 58	no nga peindu	his mother went
Diving With Goggles 59	no nga peindu nandugo, bia mendu	his mother went and looked, a woman was there
*Paradigms Week 3-5 2	dzinggaing, (di) Boimbe peisan Sa pup peisan; ne Boimbe peinggu sa pup peinggu; no Boimbe peisunu Sa pup peisunu; ige Boimbe peingsunu Sa pup peingsunu; ingge Boimbe peingsan Sa pup peingsan; nage Boimbe peingsan Sa pup peingsan	Next year, X will go to Boimbe to learn Sa
*Paradigms Week 3-5 26	di tamal peie ali unyasle tosunu	I will go to the bush and cut a tree down
*Paradigms Week 3-5 27	sale di tamal peie ali unya towana	yesterday I went to the bush and cut a tree down
*Paradigms Week 3-5 43	kulugu si di skul peisan	next year, X will go to school
*Paradigms Week 3-5 47	di go wegi peindu; ne go wegi peindu; no go wegi peindu; ige go wegi peindu; ingge go wegi peinda; naga go wegi peinda	I go to the mountain??
*Paradigms Week 3-5 48	di klele di bambi hendemi me di skul peim; ne klele ne bambi hendemi me ne skul peind; naga klele bambi hendemi me naga skul peinda	X went to school long ago
*Paradigms Week 3-5 50	X klele bambi hendemi me, di skul peim; ne skul peind; no skul peindu; ige skul pei mendu; ingge skul peind; naga skul peinda	when X was little, X went to school
Nyonggol Gayang 15	kil peinda	they went to the water
