Two Women Go Fishing 35	nomu bag dendu eeeh hama mali wamblu munggam ka baingge minjagi ndri di gundae mali di wa kinjigagmblu di tilema	he called to his friend "don't come over here, it's raining. I'm standing here" (em singaut lo wantok blong en, "no ken kam lo hia, hia ren pundaun, mi sanap sta")
Two Women Go Fishing 51	wanda pununde iaraiarae	the young woman took the crab and tricked the man
Two Women Go Fishing 74	tago wandu	it was cut and fell off
Two Men, Two Possums 48	ambrange ali le kawanda	they lost their grip on the tree and came down
Lydia's Family 10	Kawana Greg	The next one is Greg
Banaga Story 69	pubu gasi pubu wamu no punue	bring the stuff down and give it to him
Banaga Story 163	ari tenem tenem, kindili tenem tenem, wandu	the whole side, the whole head, went (down on a plate) (should be lendu)
Banaga Story 165	wandu klago	went down there (on the plates)
Banaga Story 179	pu wandu no kabi minjegegil go puwae	the father took him to the little house, took him down
Banaga Story 184	dendu no wula kabi halul mendu kabi minjegi mendu wandu diendu	his son was in the little house and he went down to talk to him
Banaga Story 201	ne pu yaba tenem tenemu pa hogo wandu kabundu kla pundu hogo peindu kilandu	he put the whole leg and the food and packaged them up and they were small (this sentence was a train wreck)
Banaga Story 225	ok si lumolomonggo wame ne kabil ge ne sinamei hogol len mile	ok, take the rope off and take it down to the house and put it there
Banaga Story 484	wanda kindili beimboge peindu	they fell down and broke their heads 
Banaga Story 513	yaba kaunge pue yunggu koindu wandu	took him by the leg and threw him to the bad place
Banaga Story 558	naga wanda yug wula naga jagi sa nie	they went down, still talking
Banaga Story 567	pu guruendna kla temi wae ige were nausago	something took us and threw us in the bad place and we were dying all over
Gogoro and Nggau 13	kulgul wandu sinandu	slept in the garden
Gogoro and Nggau 15	kulgul wanda sinandna	slept in the garden
Gogoro and Nggau 18	no pu aul duduk pue kil wandu	took the spear out and went down to the water
Gogoro and Nggau 20	no kil wandu	he went down to the water
Gogoro and Nggau 22	kil wandu mali nga kandu mali nga kandu peindu ali anil tile mendu	he went down to the water, a big storm came, a big storm came and he went and stood at the basee of a tree
Gogoro and Nggau 43	mendne wanda	they (man and family) went down (to see the drums and such)
Gogoro and Nggau 44	naga s- manda sawo wanda	the whole sawo clan went down
Torches 8	kil wae ki anggi gendil menda	they went down to the water, by the lake
Torches 97	sisangga kandu iu ki halil wandu kuma mende nagoro yobrum ka baranda	he thrashed in the water, dying, and the two (pig and dog) came over
Two Brothers 25	hogol waegi sa imba	They got there (ol kamap lo hap pinis)
Two Brothers 32	no wasi de di temi waegi na go paia ngala	I'm weak with hunger here, take the rope off!
